"","name","label"
"1","idnew","New subject ID"
"2","gi_csps_n","Study health center: without label"
"3","gi_block","Randomization blocks"
"4","gi_treatmentl","Prenatal intervention"
"5","gi_treatment2","Postnatal intervention"
"6","SECTION_01","SECTION_01"
"7","incl_date_baseline","Date of baseline interview"
"8","incl_date_inclusion","Date of study inclusion"
"9","incl_hhsize","Household size"
"10","incl_hhchild5","Number of under five children in HH"
"11","incl_hhnet","Sleeping under bednet"
"12","incl_hhnet_impr","Impregnated bednet"
"13","incl_hhnet_freq","Frequency bednet use"
"14","incl_hhnet_reason","Reasons for not having a bednet"
"15","incl_hhwater","Water source"
"16","incl_hhwater_tap","Type of tap for water"
"17","incl_hhwater_pit","Type of water pit"
"18","incl_hhwater_source","Type of water source"
"19","incl_hhwater_other","Other source of water"
"20","incl_hhl_water","Location principal water source"
"21","incl_hht_water","Time to water source"
"22","incl_hhh1_water","Water treatment"
"23","incl_hhh2_water__1","Water treatment options: boiling"
"24","incl_hhh2_water__2","Water treatment options: add bleach / chlorine"
"25","incl_hhh2_water__3","Water treatment options: sprinkle cement on the surface of the water"
"26","incl_hhh2_water__4","Water treatment options: filter it through a cloth"
"27","incl_hhh2_water__5","Water treatment options: use a filter (ceramic / sand / composite / etc.)"
"28","incl_hhh2_water__6","Water treatment options: solar disinfection"
"29","incl_hhh2_water__7","Water treatment options: let it rest"
"30","incl_hhh2_water__88","Water treatment options: other"
"31","incl_hhh2_water__99","Water treatment options: don't know"
"32","incl_hhh2_water_other","Other water treatment options"
"33","incl_hhtoilet","Toilet"
"34","incl_hhtoilet_other","Other toilet options"
"35","incl_hhtoilet_chasse","Options flush"
"36","incl_hhtoilet_fosse","Options pit"
"37","incl_hhs_toilet","Sharing toilets with other HH"
"38","incl_hhnr_toilet","nr of HH using these toilets"
"39","incl_hhhyg_water","Observation: water present at washing station"
"40","incl_hhhyg_soap","Observation: Soap present at washing station"
"41","incl_hhdispo","Head of household present?"
"42","incl_hhnet_lf","Frequency low bednet use"
"43","incl_hhnet_lf_other","Other reason"
"44","incl_hhschool_level","School level HH"
"45","incl_hhoccupation1","1st occupation HH"
"46","incl_hhoccupation2","2nd occupation HH"
"47","incl_hhoccupation3","3rd occupation HH"
"48","incl_hhnr_occupation","nr of jobs HH"
"49","incl_hhstatut","Marital status HH"
"50","incl_hhpregnantwoman","Pregnant woman is head of household"
"51","incl_hhage","Age of head of HH"
"52","incl_hhschool","Education head of household"
"53","incl_hhschoolother","other schooling head HH"
"54","incl_hhact1","Primary activity of HH head"
"55","incl_hhact1other","Primary activity of HH headother"
"56","incl_hhact2","Secondary activity of HH head"
"57","incl_hhact2other","Secondary activity of HH headother"
"58","incl_hhact3","Tertiary activity of HH head"
"59","incl_hhact3other","Tertiary activity of HH headother"
"60","incl_hhagri","Head of agricultural exploitation"
"61","incl_hhimpr_water","Improved primary water source"
"62","incl_hhimpr_sanitation","Improved sanitation facility"
"63","incl_hhpolygamous","Houshold is a polygamous family"
"64","incl_hhcomp","nr of (co-)wives HH"
"65","incl_hhfloor","Floor material house"
"66","incl_hhfloorother","Floor material HH other"
"67","incl_hhroof","Roof material HH"
