"","name","label"
"1","PID","Participant ID"
"2","IRS_RAN_SUBGROUP","Randomization arm"
"3","CHILD_AGE","Age at enrollment"
"4","IAF_AGE","Mother`s age"
"5","ENTRY_DATE","Date of initial visit"
"6","DOB","Child date of birth"
"7","GENDER","Child gender"
"8","IAF_BORNINHOSP","Was the child born in the hospital?"
"9","IAF_LENGTH","enrollment length (cm)"
"10","IAF_WEIGHT","enrollment weight (kg)"
"11","IAF_HEAD_CIRCUM","enrollment head circumference (cm)"
"12","IAF_ELIGIBLE","Is the child eligible for participation"
"13","IRS_RAN_SUBGROUP_NIC","Nicotinamide Arm"
"14","IRS_RAN_SUBGROUP_ANTI","Antibiotic Arm"
"15","CEF_TRIBAL_GROUP","What tribal group is the mother a member of?"
"16","CEF_NBR_CHILDREN","How many children does the mother have?"
"17","CEF_MOTHER_AGE_FIRSTCHILD","How old was the mother when she had her first child?"
"18","CEF_MOTHER_SCHOOL_YEARS","How many total years of school did the mother attend?"
"19","CEF_ROOMS","How many rooms do they have in the house?"
"20","CEF_NBR_PEOPLE_INHOME","How many people live in this household?"
"21","CEF_MAIN_SRC_DRINKING","What is the main source of drinking water for members of the household?"
"22","CEF_WALK_10MINS_PRIM_WATERSRC","Do they have to walk more than 10 minutes to get to the primary water source?"
"23","CEF_TREAT_WATER","Do they treat their water in any way to make it safer to drink?  If no, proceed to question 17."
"24","CEF_TREAT_WATER_HOW","What does the family usually   do to the water to make it safer to   drink?"
"25","CEF_TOILET","What kind of toilet facility do members of the family usually use?"
"26","CEF_HAVE_MATTRESS","Does the household have a mattress?"
"27","CEF_OWN_TABLE","Does the household own a table?"
"28","CEF_OWN_CHAIR_OR_BENCH","Does the household own a chair or bench?"
"29","CEF_SEPARATE_KITCHEN","Does the household have a separate room which is used as a kitchen?"
"30","CEF_REFRIGERATOR","Does the household own a refrigerator?"
"31","CEF_TELEVISION","Does the household own a television?"
"32","CEF_MOBILE_TELEPHONE","Does the household own a mobile telephone?"
"33","CEF_BANK_ACCOUNT","Does the household have a bank account?"
"34","CEF_AVG_MTHLY_INCOME","What is the average monthly income for the entire household? in.usd=income in US dollars"
"35","IN_USD","in.usd"
"36","INCAT","income in US dollars in noniles"
"37","IMPSAN","Score of sanitation; 0 for unimproved categories, 4 for improved categories"
"38","NEWDRINK","Score of drinking water source; 0  for unimproved categories, 4 for improved categories"
"39","ASSET","sum of 8 assets scores. Household has: mattress,chair,table,tv,refrigertaor,bank account,kitchen, 
< 2 people per room. Positive reponses for each of these get a score of 1 while negative responses g"
"40","WATER","sum of impsan and newdrink"
"41","WAMI","The wami is calculated by summing values of the following variables:
water, med.wami,
 asset, 
incat, 
and dividing the total by 32"
"42","SES","WAMI quartiles, 4 is highest SES"
"43","FIRSTBORN","Derived based on cef_nbr_children"
"44","WARD","Ward in which family resides (cleaned from free response ward question on CEF)"
"45","VILLAGE","Village in which family resides (cleaned from free response village question on CEF)"
"46","AGEDAYS_LAZ_0","Age in days at enrollment length measurement"
"47","LAZ_0","length for age z score at enrollment"
"48","MEAN_LAZ_0","average of all PID s enrollment laz"
"49","AGEDAYS_WAZ_0","Age in days at enrollment weight"
"50","WAZ_0","weight for age z score at enrollment"
"51","MEAN_WAZ_0","Average of all PID s enrollment waz"
"52","AGEDAYS_HCZ_0","age in days at enrollment head circumference measurement"
"53","HCZ_0","head circumference for age z score"
"54","MEAN_HCZ_0","mean of all PID s enrollment hcz"
"55","AGEDAYS_LAZ_18","age in days at final length measurment"
"56","LAZ_18","18 month length for age z score"
"57","HEIGHT_18","18 month length (cm)"
"58","AGEDAYS_WAZ_18","age in days at final weight measurement"
"59","WAZ_18","18 month weight for age z score"
"60","WEIGHT_18","18 month weight measurement (kg)"
"61","AGEDAYS_HCZ_18","age in days at 18 month head circumference for age measurement"
"62","HCZ_18","18 month head circumference for age z score"
"63","HEAD_18","18 month head circumference measurment(cm)"
"64","AGEDAYS_MAZ_18","age in days at 18 month mid upper arm circumference measurement"
"65","MAZ_18","18 month muac for age z score"
"66","MUAC_18","18 month mid-upper arm circumference measurement (cm)"
"67","MTHR_WEIGHT","Weight of mother"
"68","MTHR_HEIGHT","Height of mother num.ebf=Number of months of exclusive breastfeeding num.saes=cumulative number of serious adverse events num.sae.di=number of gastroenteritis serious adverse events num.sae.alri=number of ALRI serious adverse events num.sae.sep=number of s"
"69","NUM_EBF","num.ebf"
"70","NUM_SAES","num.saes"
"71","NUM_SAE_DI","num.sae.di"
"72","NUM_SAE_ALRI","num.sae.alri"
"73","NUM_SAE_SEP","num.sae.sep"
"74","NUM_SAES_6","num.saes.6"
"75","VAR75","num.sae.di.6"
"76","VAR76","num.sae.alri.6"
"77","VAR77","num.sae.sep.6"
"78","NUM_AES","num.aes"
"79","NUM_AE_DI","num.ae.di"
"80","NUM_AE_ALRI","num.ae.alri"
"81","NUM_AE_FEVER","num.ae.fever"
"82","NUM_AE_URTI","num.ae.urti"
"83","NUM_AES_6","num.aes.6"
"84","VAR84","num.ae.di.6"
"85","VAR85","num.ae.alri.6"
"86","VAR86","num.ae.fever.6"
"87","VAR87","num.ae.urti.6"
"88","AMR_AZI_ETEST_80","amr_azi_etest.80"
"89","AMR_AZI_ETEST_100","amr_azi_etest.100"
"90","AMR_AZI_ETEST_210","amr_azi_etest.210"
"91","LAST_MONTH_COMPLETED","The number of months each child was followed (up to 18, 24 month follow up not included)"
"92","IMPUTE_LAZ_0","If enrollment laz was dropped after being flagged as an implausible value, imputed mean, otherwise, laz"
"93","IMPUTE_WAZ_0","If enrollment waz was dropped after being flagged as an implausible value, imputed mean, otherwise, waz"
"94","IMPUTE_HCZ_0","If enrollment hcz was dropped after being flagged as an implausible value, imputed mean, otherwise, hcz"
"95","IMPUTE_MTHR_HEIGHT","If maternal height missing, imputed mean, otherwise, maternal height"
"96","IMPUTE_MTHR_WEIGHT","If maternal weight missing, imputed mean, otherwise, maternal weight"
"97","MITT","Flag for all pids with a valid 18 month laz mITT.waz=Flag for all pids with a valid 18 month waz mITT.hcz=Flag for all pids with a valid 18 month hcz mITT.maz=Flag for all pids with a valid 18 month maz completed.study=All pids with an 18 month laz"
"98","MITT_WAZ","mITT.waz"
"99","MITT_HCZ","mITT.hcz"
"100","MITT_MAZ","mITT.maz"
"101","COMPLETED_STUDY","completed.study"
"102","PP","All pids in mITT who met the following:a. Breastfed (at least partially) through age 6 months
b. Received all doses of azithromycin
c. Received initial dose of each nitazoxanide course
d. Received"
"103","PT","person time in days"
"104","MBIRTH","Birth month"
"105","SEASON","Birth season"
"106","LBW","Enrollment weight less than 2.5kg"
"107","MATAGEDIF","matagedif"
"108","CROWD","Crowding in dwelling, defined as two or more people per room of house"
"109","PT6","Person time in days starting after 6 months"
"110","AGEDAYS_WAZ_3","Age in days at 3 month weight measurement"
"111","AGEDAYS_WAZ_6","Age in days at 6 month weight measurement"
"112","AGEDAYS_WAZ_9","Age in days at 9 month weight measurement"
"113","AGEDAYS_WAZ_12","Age in days at 12 month weight measurement"
"114","AGEDAYS_WAZ_15","Age in days at 15 month weight measurement"
"115","WAZ_3","Weight for age z score at 3 months"
"116","WAZ_6","Weight for age z score at 6 months"
"117","WAZ_9","Weight for age z score at 9 months"
"118","WAZ_12","Weight for age z score at 12 months"
"119","WAZ_15","Weight for age z score at 15 months"
"120","AGEDAYS_LAZ_3","Age in days at 3 month length measurement"
"121","AGEDAYS_LAZ_6","Age in days at 6 month length measurement"
"122","AGEDAYS_LAZ_9","Age in days at 9 month length measurement"
"123","AGEDAYS_LAZ_12","Age in days at 12 month length measurement"
"124","AGEDAYS_LAZ_15","Age in days at 15 month length measurement"
"125","LAZ_3","length for age z score at 3 months"
"126","LAZ_6","length for age z score at 6 months"
"127","LAZ_9","length for age z score at 9 months"
"128","LAZ_12","length for age z score at 12 months"
"129","LAZ_15","length for age z score at 15 months"
"130","AGEDAYS_HCZ_3","Age in days at 3 month head circumference  measurement"
"131","AGEDAYS_HCZ_6","Age in days at 6 month head circumference  measurement"
"132","AGEDAYS_HCZ_9","Age in days at 9 month head circumference  measurement"
"133","AGEDAYS_HCZ_12","Age in days at 12 month head circumference  measurement"
"134","AGEDAYS_HCZ_15","Age in days at 15 month head circumference  measurement"
"135","HCZ_3","head circumference  for age z score at 3 months"
"136","HCZ_6","head circumference  for age z score at 6 months"
"137","HCZ_9","head circumference  for age z score at 9 months"
"138","HCZ_12","head circumference  for age z score at 12 months"
"139","HCZ_15","head circumference  for age z score at 15 months"
"140","AGEDAYS_MAZ_3","Age in days at 3 month Muac measurement"
"141","AGEDAYS_MAZ_6","Age in days at 6 month Muac measurement"
"142","AGEDAYS_MAZ_9","Age in days at 9 month Muac measurement"
"143","AGEDAYS_MAZ_12","Age in days at 12 month Muac measurement"
"144","AGEDAYS_MAZ_15","Age in days at 15 month Muac measurement"
"145","MAZ_3","Muac for age z score at 3 months"
"146","MAZ_6","Muac for age z score at 6 months"
"147","MAZ_9","Muac for age z score at 9 months"
"148","MAZ_12","Muac for age z score at 12 months"
"149","MAZ_15","Muac for age z score at 15 months"
"150","ANY_ABX","Total number of antibiotic courses"
"151","MACROLIDES","Total number of macrolide courses"
"152","PENICILLINS","Total number of penicillin courses"
"153","SULFONAMIDES","Total number of sulfonamide courses"
"154","CEPHALOSPORINS","Total number of cephalosporin courses"
"155","METRONIDAZOLE","Total number of metronidazole courses"
"156","FLUOROQUINOLONES","Total number of fluoroquinolone courses"
"157","TETRACYCLINES","Total number of tetracycline courses"
"158","HB_2","Hemoglobin (g/dL) at two months"
"159","HCT_2","Hematocrit (%) at two months"
"160","WBC_2","White blood cell count (1000 cells/uL) at two months"
"161","PLATELETS_2","Platelets (platelets/uL) at two months"
"162","ALT_2","Alanine aminotransaminase (U/L) at two months"
"163","AST_2","Aspartate aminotransaminase (U/L) at two months"
"164","BILIRUBIN_2","Bilirubin (umol/L) at two months"
"165","CREATININE_2","Creatinine (mmol/L) at two months"
"166","BICARB_2","Bicarbonate (mmol/L) at two months"
"167","BUN_2","Blood urea nitrogen (mmol/L) at two months"
"168","SODIUM_2","Sodium (mmol/L) at two months"
"169","CHLORIDE_2","Chloride (mmol/L) at two months"
"170","HB_8","Hemoglobin (g/dL) at eight months"
"171","HCT_8","Hematocrit (%) at eight months"
"172","WBC_8","White blood cell count (1000 cells/uL) at eight months"
"173","PLATELETS_8","Platelets (platelets/uL) at eight months"
"174","ALT_8","Alanine aminotransaminase (U/L) at eight months"
"175","AST_8","Aspartate aminotransaminase (U/L) at eight months"
"176","BILIRUBIN_8","Bilirubin (umol/L) at eight months"
"177","CREATININE_8","Creatinine (mmol/L) at eight months"
"178","BICARB_8","Bicarbonate (mmol/L) at eight months"
"179","BUN_8","Blood urea nitrogen (mmol/L) at eight months"
"180","SODIUM_8","Sodium (mmol/L) at eight months"
"181","CHLORIDE_8","Chloride (mmol/L) at eight months"
"182","HB_18","Hemoglobin (g/dL) at eighteen months"
"183","HCT_18","Hematocrit (%) at eighteen months"
"184","WBC_18","White blood cell count (1000 cells/uL) at eight months"
"185","PLATELETS_18","Platelets (platelets/uL) at eighteen months"
"186","ALT_18","Alanine aminotransaminase (U/L) at eighteen months"
"187","AST_18","Aspartate aminotransaminase (U/L) at eighteen months"
"188","BILIRUBIN_18","Bilirubin (umol/L) at eighteen months"
"189","CREATININE_18","Creatinine (mmol/L) at eighteen months"
"190","BICARB_18","Bicarbonate (mmol/L) at eighteen months"
"191","BUN_18","Blood urea nitrogen (mmol/L) at eighteen months"
"192","SODIUM_18","Sodium (mmol/L) at eighteen months"
"193","CHLORIDE_18","Chloride (mmol/L) at eighteen months"
