"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"863","PN_CWHZ_12","pn_cwhz_12",825,"Infant weight-for-length Z-score","MISAME3_WIDE","Post Natal FU M12","R_WHZ",NA,NA,0,"missing"
"814","PN_CWASTING_1","pn_cwasting_1",826,"Infant wasting","MISAME3_WIDE","Post Natal FU M01","CETERM",NA,"Child",275,"no"
"816","PN_CWASTING_2","pn_cwasting_2",827,"Infant wasting","MISAME3_WIDE","Post Natal FU M02","CETERM",NA,"Child",276,"no"
"817","PN_CWASTING_3","pn_cwasting_3",828,"Infant wasting","MISAME3_WIDE","Post Natal FU M03","CETERM",NA,"Child",265,"no"
"818","PN_CWASTING_4","pn_cwasting_4",829,"Infant wasting","MISAME3_WIDE","Post Natal FU M04","CETERM",NA,"Child",279,"no"
"819","PN_CWASTING_5","pn_cwasting_5",830,"Infant wasting","MISAME3_WIDE","Post Natal FU M05","CETERM",NA,"Child",267,"no"
"820","PN_CWASTING_6","pn_cwasting_6",831,"Infant wasting","MISAME3_WIDE","Post Natal FU M06","CETERM",NA,"Child",274,"no"
"821","PN_CWASTING_9","pn_cwasting_9",832,"Infant wasting","MISAME3_WIDE","Post Natal FU M09","CETERM",NA,"Child",168,"no"
"815","PN_CWASTING_12","pn_cwasting_12",833,"Infant wasting","MISAME3_WIDE","Post Natal FU M12","CETERM",NA,"Child",0,"missing"
"749","PN_CMUAC1_1","pn_cmuac1_1",834,"Infant MUAC_1","MISAME3_WIDE","Post Natal FU M01","MUACCM",NA,NA,275,"yes"
"751","PN_CMUAC1_2","pn_cmuac1_2",835,"Infant MUAC_1","MISAME3_WIDE","Post Natal FU M02","MUACCM",NA,NA,276,"yes"
"752","PN_CMUAC1_3","pn_cmuac1_3",836,"Infant MUAC_1","MISAME3_WIDE","Post Natal FU M03","MUACCM",NA,NA,265,"yes"
"753","PN_CMUAC1_4","pn_cmuac1_4",837,"Infant MUAC_1","MISAME3_WIDE","Post Natal FU M04","MUACCM",NA,NA,279,"yes"
"754","PN_CMUAC1_5","pn_cmuac1_5",838,"Infant MUAC_1","MISAME3_WIDE","Post Natal FU M05","MUACCM",NA,NA,267,"yes"
"755","PN_CMUAC1_6","pn_cmuac1_6",839,"Infant MUAC_1","MISAME3_WIDE","Post Natal FU M06","MUACCM",NA,NA,275,"yes"
"756","PN_CMUAC1_9","pn_cmuac1_9",840,"Infant MUAC_1","MISAME3_WIDE","Post Natal FU M09","MUACCM",NA,NA,168,"yes"
"750","PN_CMUAC1_12","pn_cmuac1_12",841,"Infant MUAC_1","MISAME3_WIDE","Post Natal FU M12","MUACCM",NA,NA,0,"missing"
"757","PN_CMUAC2_1","pn_cmuac2_1",842,"Infant MUAC_2","MISAME3_WIDE","Post Natal FU M01","MUACCM",NA,NA,275,"yes"
"759","PN_CMUAC2_2","pn_cmuac2_2",843,"Infant MUAC_2","MISAME3_WIDE","Post Natal FU M02","MUACCM",NA,NA,276,"yes"
"760","PN_CMUAC2_3","pn_cmuac2_3",844,"Infant MUAC_2","MISAME3_WIDE","Post Natal FU M03","MUACCM",NA,NA,265,"yes"
"761","PN_CMUAC2_4","pn_cmuac2_4",845,"Infant MUAC_2","MISAME3_WIDE","Post Natal FU M04","MUACCM",NA,NA,279,"yes"
"762","PN_CMUAC2_5","pn_cmuac2_5",846,"Infant MUAC_2","MISAME3_WIDE","Post Natal FU M05","MUACCM",NA,NA,267,"yes"
"763","PN_CMUAC2_6","pn_cmuac2_6",847,"Infant MUAC_2","MISAME3_WIDE","Post Natal FU M06","MUACCM",NA,NA,275,"yes"
"764","PN_CMUAC2_9","pn_cmuac2_9",848,"Infant MUAC_2","MISAME3_WIDE","Post Natal FU M09","MUACCM",NA,NA,168,"yes"
"758","PN_CMUAC2_12","pn_cmuac2_12",849,"Infant MUAC_2","MISAME3_WIDE","Post Natal FU M12","MUACCM",NA,NA,0,"missing"
"765","PN_CMUAC3_1","pn_cmuac3_1",850,"Infant MUAC_3","MISAME3_WIDE","Post Natal FU M01","MUACCM",NA,NA,0,"missing"
"767","PN_CMUAC3_2","pn_cmuac3_2",851,"Infant MUAC_3","MISAME3_WIDE","Post Natal FU M02","MUACCM",NA,NA,0,"missing"
