"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"378","CHILD_98176","CHILD_98176",6,"Mother s education What is your highest educational level achieved?","CHILD_METADATA_ALL",NA,NA,NA,NA,3263,"missing"
"379","CHILD_98177","CHILD_98177",7,"Mother s education If other, specify","CHILD_METADATA_ALL",NA,NA,NA,NA,3263,"missing"
"380","CHILD_98178","CHILD_98178",8,"Mother s education How many years of education have you had?","CHILD_METADATA_ALL",NA,"MEDUCYRS",NA,NA,3263,"yes"
"383","CHILD_98183","CHILD_98183",9,"Father s education What is the highest educational level achieved by your child s father?","CHILD_METADATA_ALL",NA,NA,NA,NA,3263,"missing"
"384","CHILD_98184","CHILD_98184",10,"Father s education If other, specify","CHILD_METADATA_ALL",NA,NA,NA,NA,3263,"missing"
"385","CHILD_98185","CHILD_98185",11,"Father s education How many years of education has your child s father had?","CHILD_METADATA_ALL",NA,"FEDUCYRS",NA,NA,3263,"yes"
"381","CHILD_98179","CHILD_98179",12,"Does your family own or rent your house/apartment:","CHILD_METADATA_ALL","Prenatal 18W","SSSTRESC","HOUSE",NA,3263,"yes"
"382","CHILD_98180","CHILD_98180",13,"Family income What is the best estimate of the total income, before taxes and deductions, of all household members, from all sources in the past 12 months?","CHILD_METADATA_ALL","Prenatal 18W","SSSTRESC","INCTOT",NA,3263,"yes"
"54","CHILD_103870","CHILD_103870",14,"Family income Of this total income, approximately what percentage is derived from government sources?","CHILD_METADATA_ALL","Prenatal 18W","SSSTRESN, SSSTRESU","INCGOVT",NA,3263,"yes"
"55","CHILD_103871","CHILD_103871",15,"Think of this ladder below as representing where people stand in their communities. Where would you put yourself on this ladder?","CHILD_METADATA_ALL",NA,NA,NA,NA,3263,"missing"
"56","CHILD_103872","CHILD_103872",16,"Think of this ladder below as representing where people stand in Canada. Where would you put yourself on this ladder?","CHILD_METADATA_ALL",NA,NA,NA,NA,3263,"missing"
"324","CHILD_144629","CHILD_144629",17,"Date/age at time of questionnaire completion Date (month and year)","CHILD_METADATA_ALL",NA,NA,NA,NA,3263,"missing"
"344","CHILD_97242","CHILD_97242",18,"Anemia Prior to your pregnancy, have you had anemia (low blood count)?","CHILD_METADATA_ALL","Prenatal 18W","CETERM",NA,"Mother",3263,"no"
"345","CHILD_97243_MODIFIED","CHILD_97243_modified",19,"Anemia Had anemia prior to pregnancy and have ever taken or are taking medications (Derived from CHILD.97242 and CHILD.97243: If so, are you taking or did you take medication(s)?)","CHILD_METADATA_ALL","Prenatal 18W","CMTRT",NA,"Mother",3263,"no"
"346","CHILD_97244","CHILD_97244",20,"Diabetes Prior to your pregnancy, have you had diabetes?","CHILD_METADATA_ALL","Prenatal 18W","CETERM",NA,"Mother",3263,"no"
"347","CHILD_97245_MODIFIED","CHILD_97245_modified",21,"Diabetes Had diabetes prior to pregnancy and have taken or are taking medications (Derived from CHILD.97244 and CHILD.97245: If so, are you taking or did you take medication(s)?)","CHILD_METADATA_ALL","Prenatal 18W","CMTRT",NA,"Mother",3263,"no"
"348","CHILD_97288","CHILD_97288",22,"Have you had any of the following during your pregnancy? Diabetes (high blood sugar)","CHILD_METADATA_ALL","Prenatal 18W","CETERM, DM",NA,"Mother",3263,"no"
"349","CHILD_97323","CHILD_97323",23,"Ever had asthma Have you ever had asthma?","CHILD_METADATA_ALL",NA,NA,NA,NA,3263,"missing"
"350","CHILD_97324_MODIFIED","CHILD_97324_modified",24,"Ever had asthma Have ever had asthma that was diagnosed by a doctor (Derived from CHILD.97323 and CHILD.97324: If Yes, was asthma diagnosed by a doctor?)","CHILD_METADATA_ALL","Prenatal 18W","CETERM",NA,"Mother",3263,"no"
"351","CHILD_97325","CHILD_97325",25,"Ever had treatment for asthma Have you ever had any treatment for asthma or wheezing?","CHILD_METADATA_ALL","Prenatal 18W","CMTRT",NA,"Mother",3263,"no"
