VarName,label,Longitudinal.,IMiC_dataset,VITAL.LACTATION,ELICIT,MISAME.3,CHILD,SDTM_mapped,datlabel,VarSubCategory,NEW,variable_original_MISAME,label_original_MISAME,VISIT_MISAME,variable_original_ELICIT,label_original_ELICIT,VISIT_ELICIT,variable_original_CHILD,label_original_CHILD,VISIT_CHILD,variable_original_VITAL.L,label_original_VITAL.L,VISIT_VITAL.L
WAZ,Weight for age z-score,yes,yes,1,1,1,1,yes,Anthropometry,Child Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHZ,Weight for length/height z-score,yes,yes,1,1,1,1,yes,Anthropometry,Child Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WTKG,Weight (kg),yes,yes,1,1,1,1,yes,Anthropometry,Child Anthropometry,NA,d_cweight1; d_cweight2; pn_cweight1_1; pn_cweight1_2; pn_cweight1_3; pn_cweight1_4; pn_cweight1_5; pn_cweight1_6; pn_cweight1_9; pn_cweight2_1; pn_cweight2_2; pn_cweight2_3; pn_cweight2_4; pn_cweight2_5; pn_cweight2_6; pn_cweight2_9,Birth weight 1; Birth weight 2; Infant weight_1; Infant weight_1; Infant weight_1; Infant weight_1; Infant weight_1; Infant weight_1; Infant weight_1; Infant weight_2; Infant weight_2; Infant weight_2; Infant weight_2; Infant weight_2; Infant weight_2; Infant weight_2,Delivery; Delivery; Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09; Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09,IAF_WEIGHT; WEIGHT_18; NA,enrollment weight (kg); 18 month weight measurement (kg); NA,Enrolment Visit; 18 Months Visit; 6 Months Visit,CHILD_11685; CHILD_97012; CHILD_12706,Baby s weight (kg); Anthropometrics Child s weight (kg); Child s weight What is your child s current weight? (Kg),3 Months FU; 1 Year FU; 2 Years FU,crf2_q25; crf2_q26; crf2_q27; crf3c_q7_a; crf3c_q7_b; crf3c_q8; crf11_q26,Current weight of the child  - reader 1 (gram); Current weight of the child  - reader 2 (gram); System gererated average child weight in grams; Current weight of the baby in grams - Reader 1; Current weight of the baby in grams - Reader 2; System gererated average baby weight in grams; Current weight of the child (grams),Screening; Screening; Screening; Baseline; Baseline; Baseline; Unscheduled
HGB,Hemoglobin (g/dL),yes,yes,1,1,1,0,yes,Laboratory Test Results,Child Anthropometry,NA,pn_chemoglobin_6,Infant hemoglobine at 6 mo,Post Natal FU M06,HB_2; HB_8; HB_18,Hemoglobin (g/dL) at two months; Hemoglobin (g/dL) at eight months; Hemoglobin (g/dL) at eighteen months,Lab visit 1; Lab visit 2; Lab visit 3,NA,NA,NA,q93; q156,Infant hemoglobin level - first time-point; Infant hemoglobin level - second time-point,Follow up Day 42; Follow up Day 56
BIRTHLEN,Birth Length (cm),no,yes,1,0,1,1,yes,Subject Level Data,Child Anthropometry,NA,d_clength1; d_clength2,Birth length 1; Birth length 2,Delivery; Delivery,NA,NA,NA,CHILD_113790,Birth length (cm),Birth CBIR,NA,NA,NA
BIRTHWT,Birth Weight (grams),no,yes,1,0,1,1,yes,Subject Level Data,Child Anthropometry,NA,d_cweight1; d_cweight2,Birth weight 1; Birth weight 2,Delivery; Delivery,NA,NA,NA,CHILD_113787,Birth weight (grams),Birth CBIR,NA,NA,NA
BIRTHORD,Birth Order,no,yes,1,0,0,0,no,NA,Child Characteristics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAGEBRTH,Gestational age at birth (days),no,yes,1,0,1,1,yes,Subject Level Data,Child Characteristics,NA,cpn1_ddr_dmy; cpn1_deliverydate; d_gabirth_d; d_gabirth_lmp_d,"Date last menstruation (dd/mm/yy); Expected date of delivery; GA at birth, days; GA at birth based on LMP , days",NA; Baseline / Enrolment; NA; NA,NA,NA,NA,CHILD_113788; CHILD_113789,Gestational Age at delivery: Weeks; Gestational Age at delivery: Days,NA; NA,NA,NA,NA
SEX,Sex,no,yes,1,1,1,1,yes,Subject Level Data,Child Characteristics,NA,d_csex,Sex of newborn,NA,NA,NA,NA,CHILD_113694,Baby s sex,NA,NA,NA,NA
SEXN,Sex (numeric),no,yes,1,1,1,1,yes,Subject Level Data,Child Characteristics,NA,d_csex,Sex of newborn,NA,GENDER,Child gender,NA,NA,NA,NA,crf3b_q36,Gender of baby,
ANTI_IN_R,Injectible antibiotics (Recall Data),yes,yes,1,0,0,0,no,NA,Child Clinical Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANTI_INJ,Injectible antibiotics,yes,yes,1,0,0,1,no,NA,Child Clinical Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANTI_OR_R,Oral antibiotics (Recall Data),yes,yes,1,0,0,0,no,NA,Child Clinical Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANTI_ORAL,Oral antibiotics,yes,yes,1,0,0,1,no,NA,Child Clinical Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANTI_R,Antibiotics administered (Recall Data),yes,yes,1,1,0,0,no,NA,Child Clinical Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANTIBIOT,Antibiotics administered,yes,yes,1,0,0,1,no,NA,Child Clinical Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOSP,Hospital visits,yes,yes,1,0,1,1,no,NA,Child Clinical Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHYSICAN,Physician visits,yes,yes,1,0,0,0,no,NA,Child Clinical Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COUGH,Cough,yes,yes,1,0,0,1,no,NA,Child Comorbidities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COUGH_R,Cough (Recall Data),yes,yes,1,1,1,1,no,NA,Child Comorbidities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIARR,Diarrhea,yes,yes,1,0,0,0,no but present in a DDF,NA,Child Comorbidities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crf3b_q88_d; crf11_q18; crf11_q45, Diarrhea; Has the baby been having diarrhea?; Diarrhoea,Baseline; Unscheduled; Unscheduled
DIARR_R,Diarrhea (Recall Data),yes,yes,1,1,1,0,no but present in a DDF,NA,Child Comorbidities,NA,pn_diarrhea_report_1; pn_diarrhea_report_2; pn_diarrhea_report_3; pn_diarrhea_report_4; pn_diarrhea_report_5; pn_diarrhea_report_6; pn_diarrhea_report_9,Nr days with diarrhea over last 7 days (reported); Nr days with diarrhea over last 7 days (reported); Nr days with diarrhea over last 7 days (reported); Nr days with diarrhea over last 7 days (reported); Nr days with diarrhea over last 7 days (reported); Nr days with diarrhea over last 7 days (reported); Nr days with diarrhea over last 7 days (reported),Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09,NA,NA,NA,NA,NA,NA,crf3b_q65_m,Diarrhea,Baseline
FEVER,Fever,yes,yes,1,0,0,1,no,NA,Child Comorbidities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEVER_R,Fever (Recall Data),yes,yes,1,1,1,1,no,NA,Child Comorbidities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VOMIT,Vomiting,yes,yes,1,0,0,1,no but present in a DDF,NA,Child Comorbidities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crf3b_q88_c; crf11_q17; crf11_q44, Vomiting; Has the baby had vomiting?; Persistent vomiting,Baseline; Unscheduled; Unscheduled
VOMIT_R,Vomiting (Recall Data),yes,yes,1,0,1,1,no but present in a DDF,NA,Child Comorbidities,NA,pn_vomit_report_1; pn_vomit_report_2; pn_vomit_report_3; pn_vomit_report_4; pn_vomit_report_5; pn_vomit_report_6; pn_vomit_report_9,Nr days with vomiting over last 7 days (reported); Nr days with vomiting over last 7 days (reported); Nr days with vomiting over last 7 days (reported); Nr days with vomiting over last 7 days (reported); Nr days with vomiting over last 7 days (reported); Nr days with vomiting over last 7 days (reported); Nr days with vomiting over last 7 days (reported),Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09,NA,NA,NA,NA,NA,NA,crf3b_q65_l,Persistant vomiting or vomit all feed,Baseline
ANMLK_R,Child fed with animal milk (recall data),yes,yes,1,0,0,0,no but present in a DDF,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crf3b_q62_a,Cow/Goat/Bufallo milk,Baseline
BFDU_R,Breast-fed duration days (recall data),no,yes,0,1,0,0,no,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFEDFL,Child breast fed on this day,yes,yes,1,0,1,1,no but present in a DDF,NA,Child Feeding,NA,d_ccolostrum1h; pn_bf_1; pn_bf_2; pn_bf_3; pn_bf_4; pn_bf_5; pn_bf_6; pn_bf_9,Colostrum within 1 hour; Currently breatfeeding; Currently breatfeeding; Currently breatfeeding; Currently breatfeeding; Currently breatfeeding; Currently breatfeeding; Currently breatfeeding,Delivery; Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09,NA,NA,NA,CHILD_D1810; CHILD_D1811; CHILD_D1802; CHILD_D1803; CHILD_D1804; CHILD_D1805; CHILD_D1806; CHILD_D1800; CHILD_D1801; CHILD_D1807,Was infant breastfed at all while in hospital? (Questionnaire   Chart Review) Infant feeding; Breastfeeding status while in hospital Infant feeding; Breastfeeding at 3 Months (final) Infant feeding; Breastfeeding at 6 Months (final) Infant feeding; Breastfeeding at 9 Months (final) Infant feeding; Breastfeeding at 12 Months (final) Infant feeding; Breastfeeding at 18 Months (final) Infant feeding; Exact duration of any breastfeeding (in months) Infant feeding; Implied duration of any breastfeeding (in months) Infant feeding; Breastfeeding at 24 Months (final) Infant feeding,Birth CBIR; Birth CBIR; 3 Months FU; 6 Months FU; 9 Months FU; 1 Year FU; 18 Months FU; 2 Years FU; 2 Years FU; 2 Years FU,crf3b_q58,How soon after birth was the baby given mother’s first thick yellowish milk (col,Baseline
BFEDFL_R,Child breast fed (recall data),yes,yes,0,1,0,0,no,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFINITTM,Time to initiation of breastfeeding (hours),no,yes,1,0,1,0,no,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFMODE,"Mode of feeding (pumped, expressed, at the breast)?",yes,yes,1,0,0,1,no,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMFDINT,Age of introduction of complimentary foods,no,yes,1,0,1,1,no,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DUR_BF,Total duration child breast-fed (days),no,yes,1,1,1,1,no,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DUR_EBF,Total duration child exclusively breast-fed (days),no,yes,1,1,1,1,no,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXBFDU_R,Exclusively breast-fed duration days (recall data),no,yes,0,1,0,0,no,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXBFED_R,Exclusively breast-fed (recall data),yes,yes,0,1,0,0,no,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXBFEDFL,Exclusively breast-fed flag on this day,yes,yes,1,0,1,1,no but present in a DDF,NA,Child Feeding,NA,pn_ebf_age_,Exclusively breastfeeding age,NA,NA,NA,NA,CHILD_D1828; CHILD_D1814; CHILD_D1816; CHILD_D1813; CHILD_D1829,Was child exclusively breastfed while in hospital? Infant feeding; Exclusive Breastfeeding at 3 Months Infant feeding; Exclusive Breastfeeding at 6 Months Infant feeding; Duration of Exclusive Breastfeeding (Months) Infant feeding; Duration of Lifetime Exclusive Breastfeeding (Months) Infant feeding,Birth CBIR; 3 Months FU; 6 Months FU; 2 Years FU; 2 Years FU,NA,NA,NA
FORMLINT,Age of introduction of formula (if any),no,yes,1,0,0,1,no,NA,Child Feeding,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FORMLK_R,Child fed with formula (recall data),yes,yes,1,0,0,0,no but present in a DDF,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,CHILD_D1824; CHILD_D1825,Formula before 3 Months Infant feeding; Formula before 6 Months Infant feeding,3 Months FU; 6 Months FU,crf3b_q62_f; crf3b_q63_f,"Formula milk; Formula milk was started at hospital, which was continued",Baseline; Baseline
FORMLKFL,Child fed with infant formula on this day,yes,yes,1,0,0,1,no but present in a DDF,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,CHILD_D1809; CHILD_D1830,Was child fed any formula while in hospital? (Questionnaire   Chart Review) Infant feeding; First introduction of Formula (Months) Infant feeding,Birth CBIR; 2 Years FU,crf3b_q57_f,Baby was given formula milk at the hospital or clinic which was continued,Baseline
SLDFED_R,Child fed with solid / semi-solid (recall data),yes,yes,1,0,0,0,no but present in a DDF,NA,Child Feeding,NA,NA,NA,NA,NA,NA,NA,CHILD_D1822; CHILD_D1823,Solids before 3 Months Infant feeding; Solids before 6 Months Infant feeding,3 Months FU; 6 Months FU,crf3b_q62_h; crf3b_q62_j; crf3b_q62_k; crf3b_q62_m,Honey;  Basmati oil;  Ghutti;  Cerelac,Baseline; Baseline; Baseline; Baseline
SLDFEDFL,Child fed with solid / semi-solid on this day,yes,yes,1,0,1,1,no but present in a DDF,NA,Child Feeding,NA,pn_solid_1; pn_solid_2; pn_solid_3; pn_solid_4; pn_solid_5; pn_solid_6; pn_solid_9; pn_solid_age_,solids during breastfeeding; solids during breastfeeding; solids during breastfeeding; solids during breastfeeding; solids during breastfeeding; solids during breastfeeding; solids during breastfeeding; Age of introduction of solids,Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09; NA,NA,NA,NA,CHILD_D1812,First introduction of Solids (Months) Infant feeding,2 Years FU,NA,NA,NA
SOLIDINT,Age of introduction of solid foods,no,yes,1,0,1,1,no,NA,Child Feeding,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEEDING,Feeding during neonatal period,no,yes,1,1,1,1,yes,Subject Level Data,Child Feeding,NA,pn_ever_bf_; pn_liguid_age_,Infant ever breastfed; Age of introduction of liquids,Post Natal FU M12; NA,NA,NA,NA,CHILD_D1826; CHILD_D1827; CHILD_D1808; CHILD_D1832,"Nutrition sources for infant s diet at 3 Months: Breastmilk, formula, and/or solid food Infant feeding; Nutrition sources for infant s diet at 6 Months: Breastmilk, formula, and/or solid food Infant feeding; Was child ever breastfed in their lifetime? Infant feeding; Was the child ever fed formula in their lifetime? (after Hospital Questionnaire) Infant feeding",NA; NA; 2 Years FU; NA,NA,NA,NA
