VarName,label,Longitudinal.,IMiC_dataset,VITAL.LACTATION,ELICIT,MISAME.3,CHILD,SDTM_mapped,datlabel,VarSubCategory,NEW,variable_original_MISAME,label_original_MISAME,VISIT_MISAME,variable_original_ELICIT,label_original_ELICIT,VISIT_ELICIT,variable_original_CHILD,label_original_CHILD,VISIT_CHILD,variable_original_VITAL.L,label_original_VITAL.L,VISIT_VITAL.L
MMUACCM,Mother Mid upper-arm circumference (cm),yes,yes,1,0,1,0,yes,Anthropometry for Relative(s),Maternal Characterisitcs,NA,cpn1_wmuac1; cpn1_wmuac2; cpn2_wmuac1; cpn2_wmuac2; cpn3_wmuac1; cpn3_wmuac2; cpn4_wmuac1; cpn4_wmuac2; pn_wmuac1_1; pn_wmuac1_2; pn_wmuac1_3; pn_wmuac1_4; pn_wmuac1_5; pn_wmuac1_6; pn_wmuac1_9; pn_wmuac2_1; pn_wmuac2_2; pn_wmuac2_3; pn_wmuac2_4; pn_wmuac2_5; pn_wmuac2_6; pn_wmuac2_9,Woman's MUAC CPN 1 - 1st measurement; Woman's MUAC CPN 1 - 2nd measurement; Woman's MUAC CPN 2- 1st measurement; Woman's MUAC CPN 2- 2nd measurement; Woman's MUAC CPN 3- 1st measurement; Woman's MUAC CPN 3- 2nd measurement; Woman's MUAC CPN 4- 1st measurement; Woman's MUAC CPN 4- 2nd measurement; Woman MUAC_1; Woman MUAC_1; Woman MUAC_1; Woman MUAC_1; Woman MUAC_1; Woman MUAC_1; Woman MUAC_1; Woman MUAC_2; Woman MUAC_2; Woman MUAC_2; Woman MUAC_2; Woman MUAC_2; Woman MUAC_2; Woman MUAC_2,Baseline / Enrolment; Baseline / Enrolment; Antenatal Care 2; Antenatal Care 2; Antenatal Care 3; Antenatal Care 3; Antenatal Care 4; Antenatal Care 4; Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09; Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09,NA,NA,NA,NA,NA,NA,crf2_q23; q127; q128; q129; q190; q191; q192; crf3c_q20,System gererated average maternal MUAC; Day 27 maternal MUAC - reader 1 (cm); Day 27 maternal MUAC - reader 2 (cm); Day 27 average maternal MUAC; Day 56 maternal MUAC - reader 1 (cm); Day 56 maternal MUAC - reader 2 (cm); Day 56 average maternal MUAC in cm; System gererated average maternal MUAC,Screening; Follow up Day 27; Follow up Day 27; Follow up Day 27; Follow up Day 56; Follow up Day 56; Follow up Day 56; Baseline
MWTKG,Mother Weight (kg),yes,yes,1,1,1,1,yes,Anthropometry for Relative(s),Maternal Characterisitcs,NA,cpn1_wweight1; cpn1_wweight2; cpn2_wweight1; cpn2_wweight2; cpn3_wweight1; cpn3_wweight2; cpn4_wweight1; cpn4_wweight2; d_wweight_bdelivery; pn_wweight1_1; pn_wweight1_2; pn_wweight1_3; pn_wweight1_4; pn_wweight1_5; pn_wweight1_6; pn_wweight1_9; pn_wweight2_1; pn_wweight2_2; pn_wweight2_3; pn_wweight2_4; pn_wweight2_5; pn_wweight2_6; pn_wweight2_9,Woman's weight CPN 1 - 1st measurement; Woman's weight CPN 1 - 2nd measurement; Woman's weight CPN 2- 1st measurement; Woman's weight CPN 2- 2nd measurement; Woman's weight CPN 3- 1st measurement; Woman's weight CPN 3- 2nd measurement; Woman's weight CPN 4- 1st measurement; Woman's weight CPN 4- 2nd measurement; Pre-delivery weight mother; Woman weight_1; Woman weight_1; Woman weight_1; Woman weight_1; Woman weight_1; Woman weight_1; Woman weight_1; Woman weight_2; Woman weight_2; Woman weight_2; Woman weight_2; Woman weight_2; Woman weight_2; Woman weight_2,Baseline / Enrolment; Baseline / Enrolment; Antenatal Care 2; Antenatal Care 2; Antenatal Care 3; Antenatal Care 3; Antenatal Care 4; Antenatal Care 4; Delivery; Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09; Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09,MTHR_WEIGHT,Weight of mother,Enrolment Visit,CHILD_107786; CHILD_97146,"Weight (kg) before spirometry (without shoes); Mother s weight at time of pregnancy If yes, what was her approximate weight? (kg)",1 Year FU; Birth CBIR,q124; q125; q126; q187; q188; q189; crf3c_q16,Day 27 maternal weight in Kg- Reader 1; Day 27 maternal weight in Kg- Reader 2; Day 27 average maternal weight in Kg; Day 56 maternal weight in Kg- Reader 1; Day 56 maternal weight in Kg- Reader 2; Day 56 average maternal weight in Kg; System gererated average maternal weight in Kg,Follow up Day 27; Follow up Day 27; Follow up Day 27; Follow up Day 56; Follow up Day 56; Follow up Day 56; Baseline
MHGB,Maternal hemoglobin (g/dL),yes,yes,1,1,1,0,yes,Laboratory Test Results,Maternal Characterisitcs,NA,cpn1_whb; cpn3_whb,Hemoglobin CPN1; Hemoglobin concentration- CPN3,Baseline / Enrolment; Antenatal Care 3,NA,NA,NA,NA,NA,NA,q81; q144,Maternal hemoglobin level - first time-point; Maternal hemoglobin level - second time-point,Follow up Day 42; Follow up Day 56
GWTGAIN,Mother Gestational weight gain (kg),yes,yes,0,0,0,1,no but present in a DDF,NA,Maternal Characterisitcs,NA,NA,NA,NA,NA,NA,NA,CHILD_97149,"Mother s weight gain during pregnancy If yes, what was her approximate weight gain? (kg)",Birth CBIR,NA,NA,NA
MANTI_A,"Maternal antibiotics, after delivery",no,yes,0,0,0,0,no,NA,Maternal Characterisitcs,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANTI_D,"Maternal antibiotics, during delivery",no,yes,0,0,0,1,no,NA,Maternal Characterisitcs,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANTI_P,"Maternal antibiotics, during pregnancy",no,yes,0,0,0,0,no,NA,Maternal Characterisitcs,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANTIBOT,"Maternal antibiotics, anytime taken",no,yes,0,0,0,1,no,NA,Maternal Characterisitcs,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSTBMI,Postpartum BMI,no,yes,1,0,0,0,no,NA,Maternal Characterisitcs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PREBMI,Pre-Pregnancy BMI,no,yes,0,0,0,0,no,NA,Maternal Characterisitcs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRIMPARITY,Primary Parity,no,yes,1,1,1,0,no,NA,Maternal Characterisitcs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGE,Mother's age (in years),no,yes,1,1,1,1,yes,Parental Data,Maternal Characterisitcs,NA,incl_wage,Woman's age at baseline,NA,IAF_AGE,Mother`s age,NA,mother_age_child_birthY,Maternal age at child birth (age in years),NA,crf3b_q17,Age of the woman in years,
GDM,Gestational Diabetes,no,yes,0,0,0,1,yes,Pregnancy History,Maternal Characterisitcs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRAVIDA,Gravida,no,yes,1,0,1,1,yes,Pregnancy History,Maternal Characterisitcs,NA,cpn1_wpreg,Nr times pregnant,NA,NA,NA,NA,CHILD_113695,"Total number of pregnancies, including present pregnancy (Gravida)",NA,crf3b_q94; crf3b_q95,"Whether this is this first pregnancy with the this baby?; Including this pregnancy, number of times woman got pregnant",; 
NLCHILD,Maternal num of living children,no,yes,1,1,0,1,yes,Pregnancy History,Maternal Characterisitcs,NA,NA,NA,NA,CEF_NBR_CHILDREN,How many children does the mother have?,NA,CHILD_113699,Living children,NA,crf3b_q97_a; crf3b_q97_b; crf3b_q97_c; crf3b_q97_d,Total number of children currently alive including this child within age of 0-11; Total number of children currently alive within age  12-23 months; Total number of children currently alive within age 24-59 months; Total number of children currently alive within age greater than 59 months,; ; ; 
NLIVBRTH,Maternal num of live births,no,yes,1,0,1,1,yes,Pregnancy History,Maternal Characterisitcs,NA,cpn1_wchild,Nr of children,NA,NA,NA,NA,NA,NA,NA,crf3b_q96_a,Total numbers of alive births including this baby which woman had,
PARITY,Parity,no,yes,1,1,1,1,yes,Pregnancy History,Maternal Characterisitcs,NA,cpn1_wdeliv,Nr of deliveries,NA,NA,NA,NA,NA,NA,NA,crf3b_q94; crf3b_q95,"Whether this is this first pregnancy with the this baby?; Including this pregnancy, number of times woman got pregnant",; 
DVSEASON,Season of birth,no,yes,1,1,1,1,no,NA,Maternal Delivery Outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLVLOC,Delivery location,no,yes,1,1,1,0,yes,Pregnancy History,Maternal Delivery Outcome,NA,d_cplace,Place of delivery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DELIVERY,Mode of delivery,no,yes,1,0,1,1,yes,Subject Level Data,Maternal Delivery Outcome,NA,d_wbinter,Intervention at delivery,NA,NA,NA,NA,CHILD_113728; CHILD_113729,"Method of delivery Indicate method of delivery; Method of delivery If other, specify",NA; NA,crf3b_q35_j; crf3b_q44,C-section; Mode of delivery,; 
PREGOUT,Pregnancy outcome,no,yes,1,1,1,1,yes,Subject Level Data,Maternal Delivery Outcome,NA,d_calive,Nr children born alive,NA,NA,NA,NA,CHILD_113781,Pregnancy outcome,NA,NA,NA,NA
FFMINDEX,Fat-free mass index (FFM:FM ratio),yes,no,0,0,1,0,yes,Anthropometry,NA,NA,bc_cFFM_index,Neonate fat-free mass index,Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFMKG,Fat-free mass (kg),yes,no,0,0,1,0,yes,Anthropometry,NA,NA,bc_cFFM,Neonate fat-free mass (kg),Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFMPCT,Fat-free mass (% of body weight),yes,no,0,0,1,0,yes,Anthropometry,NA,NA,bc_cFFM_per,Neonate fat-free mass percentage,Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
FH,Fundal height (cm),yes,no,0,0,1,0,yes,Anthropometry,NA,NA,cpn1_hu,fundus hight,Baseline / Enrolment,NA,NA,NA,NA,NA,NA,NA,NA,NA
FMKG,Fat mass (kg),yes,no,0,0,1,0,yes,Anthropometry,NA,NA,bc_cFM,Neonate fat-mass (kg),Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
FMPCT,Fat mass (% of body weight),yes,no,0,0,1,0,yes,Anthropometry,NA,NA,bc_cFM_per,Neonate fat-mass percentage,Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGBHAZ,Birth len for gest age (InterGrowth Z),yes,no,1,0,1,1,yes,Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGBHCAZ,Birth hcir for gest age (InterGrowth Z),yes,no,0,0,1,1,yes,Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGBWAZ,Birth wt for gest age (InterGrowth Z),yes,no,1,0,1,1,yes,Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGBWLRAZ,Birth wt/len ratio (InterGrowth Z),yes,no,1,0,1,1,yes,Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCCFDCM,Occipito-frontal diameter (cm),yes,no,1,0,0,0,yes,Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crf3c_q13_a; crf3c_q13_b; crf3c_q14,Current Occipito-Frontal Head Circumference of the baby in grams - Reader 1; Current Occipito-Frontal Head Circumference of the baby in grams - Reader 2; System gererated average Occipito-Frontal Head Circumference of baby in cm,Baseline; Baseline; Baseline
PI,Ponderal (Rohrer) Index,yes,no,0,0,1,0,yes,Anthropometry,NA,NA,d_crohrer,"Ponderal index, gm/cm3",Delivery,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_HAZ,Length/height for age z-score (rpt),yes,no,0,1,1,0,yes,Anthropometry,NA,NA,pn_chaz_1; pn_chaz_2; pn_chaz_3; pn_chaz_4; pn_chaz_5; pn_chaz_6; pn_chaz_9,Infant length-for-age Z-score; Infant length-for-age Z-score; Infant length-for-age Z-score; Infant length-for-age Z-score; Infant length-for-age Z-score; Infant length-for-age Z-score; Infant length-for-age Z-score,Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09,LAZ_0; LAZ_18; LAZ_3; LAZ_6; LAZ_9; LAZ_12; LAZ_15,length for age z score at enrollment; 18 month length for age z score; length for age z score at 3 months; length for age z score at 6 months; length for age z score at 9 months; length for age z score at 12 months; length for age z score at 15 months,Enrolment Visit; 18 Months Visit; 3 Months Visit; 6 Months Visit; 9 Months Visit; 12 Months Visit; 15 Months Visit,NA,NA,NA,NA,NA,NA
R_HCAZ,Head circum for age z-score (rpt),yes,no,0,1,0,0,yes,Anthropometry,NA,NA,NA,NA,NA,HCZ_0; HCZ_18; HCZ_3; HCZ_6; HCZ_9; HCZ_12; HCZ_15,head circumference for age z score; 18 month head circumference for age z score; head circumference  for age z score at 3 months; head circumference  for age z score at 6 months; head circumference  for age z score at 9 months; head circumference  for age z score at 12 months; head circumference  for age z score at 15 months,Enrolment Visit; 18 Months Visit; 3 Months Visit; 6 Months Visit; 9 Months Visit; 12 Months Visit; 15 Months Visit,NA,NA,NA,NA,NA,NA
R_MUAZ,MUAC for age z-score (rpt),yes,no,0,1,0,0,yes,Anthropometry,NA,NA,NA,NA,NA,MAZ_18; MAZ_3; MAZ_6; MAZ_9; MAZ_12; MAZ_15,18 month muac for age z score; Muac for age z score at 3 months; Muac for age z score at 6 months; Muac for age z score at 9 months; Muac for age z score at 12 months; Muac for age z score at 15 months,18 Months Visit; 3 Months Visit; 6 Months Visit; 9 Months Visit; 12 Months Visit; 15 Months Visit,NA,NA,NA,NA,NA,NA
R_WAZ,Weight for age z-score (rpt),yes,no,0,1,1,0,yes,Anthropometry,NA,NA,pn_cwaz_1; pn_cwaz_2; pn_cwaz_3; pn_cwaz_4; pn_cwaz_5; pn_cwaz_6; pn_cwaz_9,Infant weight-for-age Z-score; Infant weight-for-age Z-score; Infant weight-for-age Z-score; Infant weight-for-age Z-score; Infant weight-for-age Z-score; Infant weight-for-age Z-score; Infant weight-for-age Z-score,Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09,WAZ_0; WAZ_18; WAZ_3; WAZ_6; WAZ_9; WAZ_12; WAZ_15,weight for age z score at enrollment; 18 month weight for age z score; Weight for age z score at 3 months; Weight for age z score at 6 months; Weight for age z score at 9 months; Weight for age z score at 12 months; Weight for age z score at 15 months,Enrolment Visit; 18 Months Visit; 3 Months Visit; 6 Months Visit; 9 Months Visit; 12 Months Visit; 15 Months Visit,NA,NA,NA,NA,NA,NA
R_WHZ,Weight for length/height z-score (rpt),yes,no,0,0,1,0,yes,Anthropometry,NA,NA,pn_cwhz_1; pn_cwhz_2; pn_cwhz_3; pn_cwhz_4; pn_cwhz_5; pn_cwhz_6; pn_cwhz_9,Infant weight-for-length Z-score; Infant weight-for-length Z-score; Infant weight-for-length Z-score; Infant weight-for-length Z-score; Infant weight-for-length Z-score; Infant weight-for-length Z-score; Infant weight-for-length Z-score,Post Natal FU M01; Post Natal FU M02; Post Natal FU M03; Post Natal FU M04; Post Natal FU M05; Post Natal FU M06; Post Natal FU M09,NA,NA,NA,NA,NA,NA,NA,NA,NA
WLR,Weight/length ratio (kg/m),yes,no,1,0,1,1,yes,Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_FFMINDEX,Mother Fat-free mass index (FFM:FM ratio),yes,no,0,0,1,0,yes,Anthropometry for Relative(s),NA,NA,bc_wFFM_index,Maternal fat-free mass index,Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_FFMKG,Mother Fat-free mass (kg),yes,no,0,0,1,0,yes,Anthropometry for Relative(s),NA,NA,bc_wFFM,Maternal fat-free mass (kg),Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_FFMPCT,Mother Fat-free mass (% of body weight),yes,no,0,0,1,0,yes,Anthropometry for Relative(s),NA,NA,bc_wFFM_per,Maternal fat-free mass percentage,Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_FMINDEX,Mother Fat mass index,yes,no,0,0,1,0,yes,Anthropometry for Relative(s),NA,NA,bc_wFM_index,Maternal fat-mass index,Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_FMKG,Mother Fat mass (kg),yes,no,0,0,1,0,yes,Anthropometry for Relative(s),NA,NA,bc_wFM,Maternal fat-mass (kg),Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_FMPCT,Mother Fat mass (% of body weight),yes,no,0,0,1,0,yes,Anthropometry for Relative(s),NA,NA,bc_wFM_per,Maternal fat-mass percentage,Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_SSFTMM,Mother Subscapular skinfold thickness (mm),yes,no,0,0,1,0,yes,Anthropometry for Relative(s),NA,NA,w_ssf1incl; w_ssf2incl; w_ssf3incl,Subscapular skinfold measurement1; Subscapular skinfold measurement 2; Subscapular skinfold measurement 3,Baseline / Enrolment; Baseline / Enrolment; Baseline / Enrolment,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_TSFTMM,Mother Triceps skinfold thickness (mm),yes,no,0,0,1,0,yes,Anthropometry for Relative(s),NA,NA,w_tsf1incl; w_tsf2incl; w_tsf3incl,Triceps Skinfold measurement1; Triceps Skinfold measurement 2; Triceps Skinfold measurement 3,Baseline / Enrolment; Baseline / Enrolment; Baseline / Enrolment,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEPCOMP,BEP Compliance,no,no,0,0,1,0,yes,General Findings,NA,NA,comp_BEPcompliance_prenatal,BEP compliance during pregnancy (%),Treatment Compliance,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFEDDUR,Breast feeding duration,no,no,0,1,0,1,yes,General Findings,NA,NA,NA,NA,NA,NA,NA,5 Month Visit,CHILD_D1800; CHILD_D1801,Exact duration of any breastfeeding (in months) Infant feeding; Implied duration of any breastfeeding (in months) Infant feeding,2 Years FU; 2 Years FU,NA,NA,NA
BFEDDUR__I,Implied duration of breastfeeding,no,no,0,0,0,1,yes,General Findings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMID_A1,Breastmilk Specimen id Aliquot 1,no,no,0,0,0,1,yes,General Findings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMID_A2,Breastmilk Specimen id Aliquot 2,no,no,0,0,0,1,yes,General Findings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMID_A3,Breastmilk Specimen id Aliquot 3,no,no,0,0,0,1,yes,General Findings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COLOFEED,Feeding colostrum,yes,no,0,0,1,0,yes,General Findings,NA,NA,d_ccolostrum1h,Colostrum within 1 hour,Delivery,NA,NA,NA,NA,NA,NA,crf3b_q56,Whether the colostrum was given to the baby  immediately after birth?,Baseline
EXFEEDMT,Exclusive feeding in months,no,no,0,1,0,1,yes,General Findings,NA,NA,NA,NA,NA,NUM_EBF,num.ebf,0 to 6 months,CHILD_D1813; CHILD_D1829,Duration of Exclusive Breastfeeding (Months) Infant feeding; Duration of Lifetime Exclusive Breastfeeding (Months) Infant feeding,2 Years FU; 2 Years FU,NA,NA,NA
EXFEEDMT_L,Duration of lifetime exclusive breastfeeding,no,no,0,0,0,1,yes,General Findings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FACICOMP,Iron folic acid compliance,no,no,0,0,1,0,yes,General Findings,NA,NA,comp_IFAcompliance_prenatal,Iron folic acid compliance during pregnancy (%),Treatment Compliance,NA,NA,NA,NA,NA,NA,NA,NA,NA
NICOBBCL,Time that previous nicotinamide dose was taken before breastmilk collection,yes,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,NA,NA,1 Month Visit,NA,NA,NA,NA,NA,NA
SCRASSET,Sum of 8 assets scores,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,ASSET,"sum of 8 assets scores. Household has: mattress,chair,table,tv,refrigertaor,bank account,kitchen, 
< 2 people per room. Positive reponses for each of these get a score of 1 while negative responses g",Enrolment Visit,NA,NA,NA,NA,NA,NA
SCRDRKWT,Score of drinking water source,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,NEWDRINK,"Score of drinking water source; 0  for unimproved categories, 4 for improved categories",Enrolment Visit,NA,NA,NA,NA,NA,NA
SCRSANIT,Score of sanitation,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,IMPSAN,"Score of sanitation; 0 for unimproved categories, 4 for improved categories",Enrolment Visit,NA,NA,NA,NA,NA,NA
SCRWAMI,WAMI Score,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,WAMI,"The wami is calculated by summing values of the following variables:
water, med.wami,
 asset, 
incat, 
and dividing the total by 32",Enrolment Visit,NA,NA,NA,NA,NA,NA
SUMIMPDR,Sum of impsan and newdrink,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,WATER,sum of impsan and newdrink,Enrolment Visit,NA,NA,NA,NA,NA,NA
WAMIQUAR,WAMI quartiles,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,SES,"WAMI quartiles, 4 is highest SES",Enrolment Visit,NA,NA,NA,NA,NA,NA
SUBJID_A,Alternate Original Subject Identifier,no,no,0,0,0,1,yes,Identifier Variables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTRYCD,Country of investigative site (code),no,no,1,0,1,1,yes,Investigational Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELEVATN,Elevation (feet),no,no,0,0,1,1,yes,Investigational Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LATITUDE,Latitude  (degrees),no,no,0,0,1,1,yes,Investigational Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LONGITUD,Longitude (degrees),no,no,0,0,1,1,yes,Investigational Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REGCTRY,Region within country,no,no,0,1,1,1,yes,Investigational Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REGCTYP,Type of subdivision,no,no,0,1,1,1,yes,Investigational Sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGP,Blood Alpha-1-Acid Glycoprotein (mg/dL),yes,no,1,0,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q97; q160,Infant alpha(1)-acid glycoprotein level - first time-point; Infant alpha(1)-acid glycoprotein level - second time-point,Follow up Day 42; Follow up Day 56
ALT,Alanine Aminotransferase (U/L),yes,no,0,1,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,ALT_2; ALT_8; ALT_18,Alanine aminotransaminase (U/L) at two months; Alanine aminotransaminase (U/L) at eight months; Alanine aminotransaminase (U/L) at eighteen months,Lab visit 1; Lab visit 2; Lab visit 3,NA,NA,NA,NA,NA,NA
AST,Aspartate Aminotransferase (U/L),yes,no,0,1,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,AST_2; AST_8; AST_18,Aspartate aminotransaminase (U/L) at two months; Aspartate aminotransaminase (U/L) at eight months; Aspartate aminotransaminase (U/L) at eighteen months,Lab visit 1; Lab visit 2; Lab visit 3,NA,NA,NA,NA,NA,NA
BICARB,Bicarbonate (mmol/L),yes,no,0,1,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,BICARB_2; BICARB_8; BICARB_18,Bicarbonate (mmol/L) at two months; Bicarbonate (mmol/L) at eight months; Bicarbonate (mmol/L) at eighteen months,Lab visit 1; Lab visit 2; Lab visit 3,NA,NA,NA,NA,NA,NA
BILITOT,Total Bilirubin (umol/L),yes,no,0,1,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,BILIRUBIN_2; BILIRUBIN_8; BILIRUBIN_18,Bilirubin (umol/L) at two months; Bilirubin (umol/L) at eight months; Bilirubin (umol/L) at eighteen months,Lab visit 1; Lab visit 2; Lab visit 3,NA,NA,NA,NA,NA,NA
BUN,Blood Urea Nitrogen (mmol/L),yes,no,0,1,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,BUN_2; BUN_8; BUN_18,Blood urea nitrogen (mmol/L) at two months; Blood urea nitrogen (mmol/L) at eight months; Blood urea nitrogen (mmol/L) at eighteen months,Lab visit 1; Lab visit 2; Lab visit 3,NA,NA,NA,NA,NA,NA
CALP,Stool Calprotectin (�g/g),yes,no,1,0,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q88; q151,Infant carplprotectin level - first time-point; Infant carplprotectin level - second time-point,Follow up Day 42; Follow up Day 56
CHL,Chloride (mmol/L),yes,no,0,1,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,CHLORIDE_2; CHLORIDE_8; CHLORIDE_18,Chloride (mmol/L) at two months; Chloride (mmol/L) at eight months; Chloride (mmol/L) at eighteen months,Lab visit 1; Lab visit 2; Lab visit 3,NA,NA,NA,NA,NA,NA
CREATN,Creatinine (mmol/L),yes,no,0,1,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,CREATININE_2; CREATININE_8; CREATININE_18,Creatinine (mmol/L) at two months; Creatinine (mmol/L) at eight months; Creatinine (mmol/L) at eighteen months,Lab visit 1; Lab visit 2; Lab visit 3,NA,NA,NA,NA,NA,NA
CRP,Blood C Reactive Protein (mg/dL),yes,no,1,0,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q96; q159,Infant C-Reactive protein level - first time-point; Infant C-Rective protein level - second time-point,Follow up Day 42; Follow up Day 56
FERRITIN,Blood Ferritin (ng/mL),yes,no,1,0,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q94; q157,Infant ferritin level - first time-point; Infant ferritin level - second time-point,Follow up Day 42; Follow up Day 56
HCT,Hematocrit (%),yes,no,0,1,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,HCT_2; HCT_8; HCT_18,Hematocrit (%) at two months; Hematocrit (%) at eight months; Hematocrit (%) at eighteen months,Lab visit 1; Lab visit 2; Lab visit 3,NA,NA,NA,NA,NA,NA
LIPOCAL2,Stool Lipocalin-2 (ng/g),yes,no,1,0,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q89; q152,Infant lipokalin-2 level - first time-point; Infant lipokalin-2 level - second time-point,Follow up Day 42; Follow up Day 56
MPO,Stool Myeloperoxidase (ng/mL),yes,no,1,0,0,0,yes,Laboratory Test Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q90; q153,Infant MPO level - first time-point; Infant MPO level - second time-point,Follow up Day 42; Follow up Day 56
