VarName,label,Longitudinal.,IMiC_dataset,VITAL.LACTATION,ELICIT,MISAME.3,CHILD,SDTM_mapped,datlabel,VarSubCategory,NEW,variable_original_MISAME,label_original_MISAME,VISIT_MISAME,variable_original_ELICIT,label_original_ELICIT,VISIT_ELICIT,variable_original_CHILD,label_original_CHILD,VISIT_CHILD,variable_original_VITAL.L,label_original_VITAL.L,VISIT_VITAL.L
PREGOUT,Pregnancy outcome,no,yes,1,1,1,1,yes,Subject Level Data,Maternal Delivery Outcome,NA,d_calive,Nr children born alive,NA,NA,NA,NA,CHILD_113781,Pregnancy outcome,NA,NA,NA,NA
FFMINDEX,Fat-free mass index (FFM:FM ratio),yes,no,0,0,1,0,yes,Anthropometry,NA,NA,bc_cFFM_index,Neonate fat-free mass index,Post Natal FU,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGBHAZ,Birth len for gest age (InterGrowth Z),yes,no,1,0,1,1,yes,Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGBHCAZ,Birth hcir for gest age (InterGrowth Z),yes,no,0,0,1,1,yes,Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGBWAZ,Birth wt for gest age (InterGrowth Z),yes,no,1,0,1,1,yes,Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGBWLRAZ,Birth wt/len ratio (InterGrowth Z),yes,no,1,0,1,1,yes,Anthropometry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCRASSET,Sum of 8 assets scores,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,ASSET,"sum of 8 assets scores. Household has: mattress,chair,table,tv,refrigertaor,bank account,kitchen, 
< 2 people per room. Positive reponses for each of these get a score of 1 while negative responses g",Enrolment Visit,NA,NA,NA,NA,NA,NA
SCRDRKWT,Score of drinking water source,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,NEWDRINK,"Score of drinking water source; 0  for unimproved categories, 4 for improved categories",Enrolment Visit,NA,NA,NA,NA,NA,NA
SCRSANIT,Score of sanitation,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,IMPSAN,"Score of sanitation; 0 for unimproved categories, 4 for improved categories",Enrolment Visit,NA,NA,NA,NA,NA,NA
SCRWAMI,WAMI Score,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,WAMI,"The wami is calculated by summing values of the following variables:
water, med.wami,
 asset, 
incat, 
and dividing the total by 32",Enrolment Visit,NA,NA,NA,NA,NA,NA
WAMIQUAR,WAMI quartiles,no,no,0,1,0,0,yes,General Findings,NA,NA,NA,NA,NA,SES,"WAMI quartiles, 4 is highest SES",Enrolment Visit,NA,NA,NA,NA,NA,NA
M_ADEN4041,Mother's Stool Adenovirus 40/41 (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_2; q204_2,Adenovirus_40_41; Adenovirus_40_41,Follow up Day 42; Follow up Day 56
M_AEROMNS,Mother's Stool Aeromonas (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_3; q204_3,Aeromonas; Aeromonas,Follow up Day 42; Follow up Day 56
M_ASCARIS,Mother's Stool Ascaris (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_5; q204_5,Ascaris; Ascaris,Follow up Day 42; Follow up Day 56
M_ASTRO,Mother's Stool Astrovirus (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_6; q204_6,Astrovirus; Astrovirus,Follow up Day 42; Follow up Day 56
M_BLONGIN,Mother's Stool Bifidobacterium longum Infantalis (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q208_3; q208_4; q210_3; q210_4,B.longum Spp. Infantis Results (Ct Value)   LW TimePoint1; B.longum Spp. Infantis Results (Pos/Neg)   LW TimePoint1; B.longum Spp. Infantis Results (Ct Value)   LW Timepoint2; B.longum Spp. Infantis Results (Pos/Neg)   LW Timepoint2,Follow up Day 42; Follow up Day 42; Follow up Day 56; Follow up Day 56
M_BLONGIN_C,Mother's Stool Bifidobacterium longum Infantalis (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_BLONGUM,Mother's Stool Bifidobacterium longum (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q208_1; q208_2; q210_1; q210_2,B.longum Results (Ct Value)   LW TimePoint1; B.longum Results (Pos/Neg)   LW TimePoint1; B.longum Results (Ct Value)   LW Timepoint2; B.longum Results (Pos/Neg)   LW Timepoint2,Follow up Day 42; Follow up Day 42; Follow up Day 56; Follow up Day 56
M_BLONGUM_C,Mother's Stool Bifidobacterium longum (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_CA23S75A,Mother's Stool Campylobacter23S 2075A (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_9; q204_9,Campy23S2075A; Campy23S2075A,Follow up Day 42; Follow up Day 56
M_CA23S75G,Mother's Stool Campylobacter23S 2075G (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_10; q204_10,Campy23S2075G; Campy23S2075G,Follow up Day 42; Follow up Day 56
M_CALP,Mother's Stool Calprotectin (µg/g),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q74; q137,Maternal carplprotectin level - first time-point; Maternal carplprotectin level - second time-point,Follow up Day 42; Follow up Day 56
M_CAMP16S,Mother's Stool Campylobacter16S (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_8; q204_8,Campy16S; Campy16S,Follow up Day 42; Follow up Day 56
M_CAMPCOL,Mother's Stool Campylobacter coli (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_11; q204_11,Campylobacter_coli; Campylobacter_coli,Follow up Day 42; Follow up Day 56
M_CAMPJC,Mother's Stool Campylobacter jejuni/coli (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_13; q204_13,Campylobacter_jejuni_coli; Campylobacter_jejuni_coli,Follow up Day 42; Follow up Day 56
M_CAMPJJN,Mother's Stool Campylobacter jejuni (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_12; q204_12,Campylobacter_jejuni; Campylobacter_jejuni,Follow up Day 42; Follow up Day 56
M_CAMPPAN,Mother's Stool Campylobacter pancolitis (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_14; q204_14,Campylobacter_pan; Campylobacter_pan,Follow up Day 42; Follow up Day 56
M_CDIFFIC,Mother's Stool Clostridium difficile (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_7; q204_7,C_difficile; C_difficile,Follow up Day 42; Follow up Day 56
M_CRYPTO,Mother's Stool Cryptosporidium (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_15; q204_15,Cryptosporidium; Cryptosporidium,Follow up Day 42; Follow up Day 56
M_CTXM129,Mother's Stool Ctx_M_1_2_9 gene (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_16; q204_16,ctx_M_1_2_9; ctx_M_1_2_9,Follow up Day 42; Follow up Day 56
M_CTXM825,Mother's Stool Ctx_M_8_25 gene (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_17; q204_17,ctx_M_8_25; ctx_M_8_25,Follow up Day 42; Follow up Day 56
M_EAECAAIC,Mother's Stool Enteroaggregative Escherichia coli aaIC (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_23; q204_23,EAEC_aaiC; EAEC_aaiC,Follow up Day 42; Follow up Day 56
M_EAECAATA,Mother's Stool Enteroaggregative Escherichia coli aatA (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_24; q204_24,EAEC_aatA; EAEC_aatA,Follow up Day 42; Follow up Day 56
M_EBIENSI,Mother's Stool Enterocytozoon bieneusi (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_19; q204_19,E_bieneusi; E_bieneusi,Follow up Day 42; Follow up Day 56
M_EINTEST,Mother's Stool Encephalitozoon intestinalis (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_22; q204_22,E_intestinalis; E_intestinalis,Follow up Day 42; Follow up Day 56
M_ENTAHISH,Mother's Stool Entamoeba histolytica hartmanni (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_21; q204_21,E_histolytica_H; E_histolytica_H,Follow up Day 42; Follow up Day 56
M_ENTAHIST,Mother's Stool Entamoeba histolytica (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_20; q204_20,E_histolytica; E_histolytica,Follow up Day 42; Follow up Day 56
M_EPECBFPA,Mother's Stool Enteropathic E coli - bfpA (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_25; q204_25,EPEC_bfpA; EPEC_bfpA,Follow up Day 42; Follow up Day 56
M_EPECEAE,Mother's Stool Enteropathic E coli - eae (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_26; q204_26,EPEC_eae; EPEC_eae,Follow up Day 42; Follow up Day 56
M_ETECCFA,Mother's Stool etec_cfa (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_27; q204_27,ETEC_CFA_I; ETEC_CFA_I,Follow up Day 42; Follow up Day 56
M_ETECCS1,Mother's Stool etec_cs1 (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_28; q204_28,ETEC_CS1; ETEC_CS1,Follow up Day 42; Follow up Day 56
M_ETECCS2,Mother's Stool etec_cs2 (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_29; q204_29,ETEC_CS2; ETEC_CS2,Follow up Day 42; Follow up Day 56
M_ETECCS3,Mother's Stool etec_cs3 (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_30; q204_30,ETEC_CS3; ETEC_CS3,Follow up Day 42; Follow up Day 56
M_ETECCS5,Mother's Stool etec_cs5 (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_31; q204_31,ETEC_CS5; ETEC_CS5,Follow up Day 42; Follow up Day 56
M_ETECCS6,Mother's Stool etec_cs6 (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_32; q204_32,ETEC_CS6; ETEC_CS6,Follow up Day 42; Follow up Day 56
M_ETECLT,Mother's Stool Enterotoxic E coli  heat-labile (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_33; q204_33,ETEC_LT; ETEC_LT,Follow up Day 42; Follow up Day 56
M_ETECSTH,Mother's Stool Enterotoxic E coli  STh (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_34; q204_34,ETEC_STh; ETEC_STh,Follow up Day 42; Follow up Day 56
M_ETECSTP,Mother's Stool Enterotoxic E coli  STp (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_35; q204_35,ETEC_STp; ETEC_STp,Follow up Day 42; Follow up Day 56
M_GIARDIA,Mother's Stool Giardia (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_36; q204_36,Giardia; Giardia,Follow up Day 42; Follow up Day 56
M_HPYLORI,Mother's Stool Helicobacter pylori (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_37; q204_37,H_pylori; H_pylori,Follow up Day 42; Follow up Day 56
M_HS9901S1,Mother's Stool Hs99999901_s1 (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_38; q204_38,Hs99999901_s1; Hs99999901_s1,Follow up Day 42; Follow up Day 56
M_ISOSPORA,Mother's Stool Isospora (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_39; q204_39,Isospora; Isospora,Follow up Day 42; Follow up Day 56
M_LIPOCAL2,Mother's Stool Lipocalin-2 (ng/g),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q75; q138,Maternal lipokalin-2 level - first time-point; Maternal lipokalin-2 level - second time-point,Follow up Day 42; Follow up Day 56
M_MPHA,Mother's Stool Gene mphA (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_41; q204_41,mphA; mphA,Follow up Day 42; Follow up Day 56
M_MPO,Mother's Stool Myeloperoxidase (ng/mL),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q76; q139,Maternal MPO level - first time-point; Maternal MPO level - second time-point,Follow up Day 42; Follow up Day 56
M_MS2,Mother's Stool Bacteriophage MS2 (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_42; q204_42,MS2; MS2,Follow up Day 42; Follow up Day 56
M_MS22B,Mother's Stool MS2-2 Bacteriophage (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_43; q204_43,MS2_2; MS2_2,Follow up Day 42; Follow up Day 56
M_MTB,Mother's Stool Mycobacterium tuberculosis (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_40; q204_40,M_tuberculosis; M_tuberculosis,Follow up Day 42; Follow up Day 56
M_NORO1,Mother's Stool Norovirus type I (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_45; q204_45,Norovirus_GI; Norovirus_GI,Follow up Day 42; Follow up Day 56
M_NORO2,Mother's Stool Norovirus type II (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_46; q204_46,Norovirus_GII; Norovirus_GII,Follow up Day 42; Follow up Day 56
M_NTOR,Mother's Stool Necator (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_44; q204_44,Necator; Necator,Follow up Day 42; Follow up Day 56
M_PHHV,Mother's Stool Phocine herpesvirus (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_47; q204_47,PhHV; PhHV,Follow up Day 42; Follow up Day 56
M_PHHV2,Mother's Stool Phocine herpesvirus 2 (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_48; q204_48,PhHV_2; PhHV_2,Follow up Day 42; Follow up Day 56
M_PLESIO,Mother's Stool Plesiomonas (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_49; q204_49,Plesiomonas; Plesiomonas,Follow up Day 42; Follow up Day 56
M_ROTA,Mother's Stool Rotavirus (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_50; q204_50,Rotavirus; Rotavirus,Follow up Day 42; Follow up Day 56
M_RRNA16S,Mother's Stool rRNA 16s (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_1; q204_1,16S; 16S,Follow up Day 42; Follow up Day 56
M_SALMNL,Mother's Stool Salmonella (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_51; q204_51,Salmonella; Salmonella,Follow up Day 42; Follow up Day 56
M_SAPOI_IV,Mother's Stool Sapovirus_I_II_IV (Arbitrary Unit (CT)),yes,no,1,0,0,0,yes,Microbiology Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q203_52; q204_52,Sapovirus_I_II_IV; Sapovirus_I_II_IV,Follow up Day 42; Follow up Day 56
