"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"2","AGEDAYS_HCZ_12","AGEDAYS_HCZ_12",133,"Age in days at 12 month head circumference  measurement","ELICIT_METADATA_IMIC_042021",NA,"AGEDAYS",NA,NA,200,"yes"
"3","AGEDAYS_HCZ_15","AGEDAYS_HCZ_15",134,"Age in days at 15 month head circumference  measurement","ELICIT_METADATA_IMIC_042021",NA,"AGEDAYS",NA,NA,200,"yes"
"102","HCZ_3","HCZ_3",135,"head circumference  for age z score at 3 months","ELICIT_METADATA_IMIC_042021","3 Months Visit","R_HCAZ",NA,NA,200,"yes"
"103","HCZ_6","HCZ_6",136,"head circumference  for age z score at 6 months","ELICIT_METADATA_IMIC_042021","6 Months Visit","R_HCAZ",NA,NA,200,"yes"
"104","HCZ_9","HCZ_9",137,"head circumference  for age z score at 9 months","ELICIT_METADATA_IMIC_042021","9 Months Visit","R_HCAZ",NA,NA,200,"yes"
"99","HCZ_12","HCZ_12",138,"head circumference  for age z score at 12 months","ELICIT_METADATA_IMIC_042021","12 Months Visit","R_HCAZ",NA,NA,200,"yes"
"100","HCZ_15","HCZ_15",139,"head circumference  for age z score at 15 months","ELICIT_METADATA_IMIC_042021","15 Months Visit","R_HCAZ",NA,NA,200,"yes"
"18","AGEDAYS_MAZ_3","AGEDAYS_MAZ_3",140,"Age in days at 3 month Muac measurement","ELICIT_METADATA_IMIC_042021",NA,"AGEDAYS",NA,NA,200,"yes"
"19","AGEDAYS_MAZ_6","AGEDAYS_MAZ_6",141,"Age in days at 6 month Muac measurement","ELICIT_METADATA_IMIC_042021",NA,"AGEDAYS",NA,NA,200,"yes"
"20","AGEDAYS_MAZ_9","AGEDAYS_MAZ_9",142,"Age in days at 9 month Muac measurement","ELICIT_METADATA_IMIC_042021",NA,"AGEDAYS",NA,NA,200,"yes"
"15","AGEDAYS_MAZ_12","AGEDAYS_MAZ_12",143,"Age in days at 12 month Muac measurement","ELICIT_METADATA_IMIC_042021",NA,"AGEDAYS",NA,NA,200,"yes"
"16","AGEDAYS_MAZ_15","AGEDAYS_MAZ_15",144,"Age in days at 15 month Muac measurement","ELICIT_METADATA_IMIC_042021",NA,"AGEDAYS",NA,NA,200,"yes"
"138","MAZ_3","MAZ_3",145,"Muac for age z score at 3 months","ELICIT_METADATA_IMIC_042021","3 Months Visit","R_MUAZ",NA,NA,200,"yes"
"139","MAZ_6","MAZ_6",146,"Muac for age z score at 6 months","ELICIT_METADATA_IMIC_042021","6 Months Visit","R_MUAZ",NA,NA,200,"yes"
"140","MAZ_9","MAZ_9",147,"Muac for age z score at 9 months","ELICIT_METADATA_IMIC_042021","9 Months Visit","R_MUAZ",NA,NA,200,"yes"
"135","MAZ_12","MAZ_12",148,"Muac for age z score at 12 months","ELICIT_METADATA_IMIC_042021","12 Months Visit","R_MUAZ",NA,NA,200,"yes"
"136","MAZ_15","MAZ_15",149,"Muac for age z score at 15 months","ELICIT_METADATA_IMIC_042021","15 Months Visit","R_MUAZ",NA,NA,200,"yes"
"37","ANY_ABX","ANY_ABX",150,"Total number of antibiotic courses","ELICIT_METADATA_IMIC_042021","0 to 18 months","CMTRT",NA,"Child",200,"no"
"133","MACROLIDES","MACROLIDES",151,"Total number of macrolide courses","ELICIT_METADATA_IMIC_042021","0 to 18 months","CMTRT",NA,"Child",200,"no"
"166","PENICILLINS","PENICILLINS",152,"Total number of penicillin courses","ELICIT_METADATA_IMIC_042021","0 to 18 months","CMTRT",NA,"Child",200,"no"
"183","SULFONAMIDES","SULFONAMIDES",153,"Total number of sulfonamide courses","ELICIT_METADATA_IMIC_042021","0 to 18 months","CMTRT",NA,"Child",200,"no"
"75","CEPHALOSPORINS","CEPHALOSPORINS",154,"Total number of cephalosporin courses","ELICIT_METADATA_IMIC_042021","0 to 18 months","CMTRT",NA,"Child",200,"no"
"145","METRONIDAZOLE","METRONIDAZOLE",155,"Total number of metronidazole courses","ELICIT_METADATA_IMIC_042021","0 to 18 months","CMTRT",NA,"Child",200,"no"
"90","FLUOROQUINOLONES","FLUOROQUINOLONES",156,"Total number of fluoroquinolone courses","ELICIT_METADATA_IMIC_042021","0 to 18 months","CMTRT",NA,"Child",200,"no"
"184","TETRACYCLINES","TETRACYCLINES",157,"Total number of tetracycline courses","ELICIT_METADATA_IMIC_042021","0 to 18 months","CMTRT",NA,"Child",200,"no"
