"study","contrast","direction","pathway","feature"
"Vital (1.5 mo.)","BEP","up","Glycine and Serine Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP","up","Tyrosine Metabolism","L-Tyrosine"
"Vital (1.5 mo.)","BEP","up","Beta-Alanine Metabolism","Histidine"
"Vital (1.5 mo.)","BEP","up","Phenylalanine and Tyrosine Metabolism","L-Tyrosine"
"Vital (1.5 mo.)","BEP","up","Ammonia Recycling","Histidine"
"Vital (1.5 mo.)","BEP","up","Ammonia Recycling","Glutamine"
"Vital (1.5 mo.)","BEP","up","Catecholamine Biosynthesis","L-Tyrosine"
"Vital (1.5 mo.)","BEP","up","Glutathione Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP","up","Selenoamino Acid Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP","up","Histidine Metabolism","Histidine"
"Vital (1.5 mo.)","BEP","up","Amino Sugar Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP","up","Pyrimidine Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP","up","Nicotinate and Nicotinamide Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP","up","Purine Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP","up","Alanine Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP","up","Urea Cycle","L-Alanine"
"Vital (1.5 mo.)","BEP","up","Urea Cycle","Glutamine"
"Vital (1.5 mo.)","BEP","up","Tryptophan Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP","up","Aspartate Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP","up","Glutamate Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP","up","Glutamate Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP","up","Phenylacetate Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP","up","Glucose-Alanine Cycle","L-Alanine"
"Vital (1.5 mo.)","BEP","up","Warburg Effect","Glutamine"
"Vital (1.5 mo.)","BEP","up","Methylhistidine Metabolism","Histidine"
"Vital (1.5 mo.)","BEP","up","Thyroid hormone synthesis","L-Tyrosine"
