"study","contrast","direction","pathway","feature"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Glycine and Serine Metabolism","Ornithine"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Glycine and Serine Metabolism","Homocysteine"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Catecholamine Biosynthesis","Homocysteine"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Eicosapentaenoic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Docosahexaenoic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Arginine and Proline Metabolism","Ornithine"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Steroid Biosynthesis","Palmitic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Methionine Metabolism","Homocysteine"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Bile Acid Biosynthesis","Palmitic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Glycerolipid Metabolism","Palmitic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Fatty acid Metabolism","Palmitic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Beta Oxidation of Very Long Chain Fatty Acids","Dodecanoic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Fatty Acid Elongation In Mitochondria","Palmitic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Urea Cycle","Ornithine"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Pyruvate Metabolism","Lactic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Betaine Metabolism","Homocysteine"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Gluconeogenesis","Lactic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Spermidine and Spermine Biosynthesis","Ornithine"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Homocysteine Degradation","Homocysteine"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Fatty Acid Biosynthesis","Palmitic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Fatty Acid Biosynthesis","Dodecanoic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Fatty Acid Biosynthesis","Myristic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","Dodecanoic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down","Warburg Effect","Lactic acid"
