"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP+ExBf","down","Glycine and Serine Metabolism","Homocysteine"
"Vital (2 mo.)","BEP+ExBf","down","Catecholamine Biosynthesis","Homocysteine"
"Vital (2 mo.)","BEP+ExBf","down","Methionine Metabolism","Homocysteine"
"Vital (2 mo.)","BEP+ExBf","down","Bile Acid Biosynthesis","Taurocholic acid"
"Vital (2 mo.)","BEP+ExBf","down","Bile Acid Biosynthesis","Glycocholic acid"
"Vital (2 mo.)","BEP+ExBf","down","Bile Acid Biosynthesis","Chenodeoxycholic acid glycine conjugate"
"Vital (2 mo.)","BEP+ExBf","down","Betaine Metabolism","Homocysteine"
"Vital (2 mo.)","BEP+ExBf","down","Homocysteine Degradation","Homocysteine"
