"study","contrast","direction","pathway","feature"
"Misame (3-4 mo.)","BEP/IFA","up","Arginine and Proline Metabolism","Succinic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Oxidation of Branched Chain Fatty Acids","Succinic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Valine, Leucine and Isoleucine Degradation","Succinic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Citric Acid Cycle","Succinic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Tryptophan Metabolism","Indoleacetic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Ketone Body Metabolism","Succinic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Glutamate Metabolism","Succinic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Butyrate Metabolism","Succinic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Mitochondrial Electron Transport Chain","Succinic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Phytanic Acid Peroxisomal Oxidation","Succinic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Carnitine Synthesis","Succinic acid"
"Misame (3-4 mo.)","BEP/IFA","up","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids","Stearoylcarnitine"
"Misame (3-4 mo.)","BEP/IFA","up","Warburg Effect","Succinic acid"
