1-Methylhistidine
Indoleacetic acid
Indole-3-propionic acid
3-Methylhistidine
5-Aminopentanoic acid
Arachidonic acid
L-Alpha-aminobutyric acid
D-Alpha-aminobutyric acid
(S)-Abscisic acid
N-Acetylornithine
cis-Aconitic acid
trans-Aconitic acid
Asymmetric dimethylarginine
L-Alanine
D-Alanine
Aminoadipic acid
Anserine
L-Arginine
D-Arginine
L-Asparagine
D-Asparagine
L-Aspartic acid
D-Aspartic acid
3-Aminobutanoic acid
beta-Alanine
Betaine
L-Carnitine
Decanoylcarnitine
9-Decenoylcarnitine
2-trans,4-cis-Decadienoylcarnitine
Dodecanoylcarnitine
Dodecanedioylcarnitine
trans-2-Dodecenoylcarnitine
Tetradecanoylcarnitine
cis-5-Tetradecenoylcarnitine
3-Hydroxy-cis-5-tetradecenoylcarnitine
3, 5-Tetradecadiencarnitine
L-Palmitoylcarnitine
3-Hydroxyhexadecanoylcarnitine
trans-Hexadec-2-enoyl carnitine
9-Hexadecenoylcarnitine
3-Hydroxy-9-hexadecenoylcarnitine
9,12-Hexadecadienoylcarnitine
3-Hydroxyhexadecadienoylcarnitine
Acylcarnitine C18:0
Vaccenyl carnitine
Oleoylcarnitine
Elaidic carnitine
11Z-Octadecenylcarnitine
3-Hydroxy-11Z-octadecenoylcarnitine
Linoleyl carnitine
Linoelaidyl carnitine
DL-Acetylcarnitine
Propionylcarnitine
Malonylcarnitine
Hydroxypropionylcarnitine
Propenoylcarnitine
Butyrylcarnitine
Isobutyryl-L-carnitine
Hydroxyproline
Butenylcarnitine
Valerylcarnitine
2-Methylbutyroylcarnitine
Isovalerylcarnitine
Pivaloylcarnitine
Glutarylcarnitine
3-Methylglutarylcarnitine
Hydroxyvalerylcarnitine
Methylmalonylcarnitine
Tiglylcarnitine
Glutaconylcarnitine
L-Hexanoylcarnitine
Hexanoylcarnitine
2-Hexenoylcarnitine
Pimelylcarnitine
L-Octanoylcarnitine
TG(14:0/a-25:0/a-13:0)[rac]
2,6 Dimethylheptanoyl carnitine
Nonanoylcarnitine
Cholic acid
Carnosine
Chenodeoxycholic acid
CE(14:0)
cholest-5-en-3b-yl (9Z-tetradecenoate)
CE(15:0)
CE(15:1)
CE(16:0)
CE(16:1(9Z))
CE(17:0)
CE(17:1)
cholest-5-en-3beta-yl octadecanoate
CE(18:1(9Z))
CE(18:1(11Z))
TG(16:0/a-25:0/a-25:0)[rac]
CE(18:3(9Z,12Z,15Z))
CE(18:3(6Z,9Z,12Z))
cholest-5-en-3beta-yl eicosanoate
20:1 Cholesterol ester
20:3 Cholesterol ester
CE(20:4(5Z,8Z,11Z,14Z)
CE(20:4(8Z,11Z,14Z,17Z))
20:5 Cholesterol ester
CE(22:0)
cholest-5-en-3b-yl (13Z-docosenoate)
22:2 Cholesterol ester
CE(22:5(4Z,7Z,10Z,13Z,16Z))
CE(22:5(7Z,10Z,13Z,16Z,19Z))
22:6 Cholesterol ester
Cer(d18:0/18:0)
Cer(d18:0/20:0)
Cer(d18:0/22:0)
Cer(d18:0/24:0)
Cer(d18:0/24:1(15Z))
Cer(d18:0/26:1(17Z))
Cer(d18:1/14:0)
Ceramide (d18:1/16:0)
Ceramide (d18:1/18:0)
Ceramide (d18:1/9Z-18:1)
Ceramide (d18:1/20:0)
Ceramide (d18:1/22:0)
Cer(d18:1/23:0)
Ceramide (d18:1/24:0)
Cer(d18:1/24:1(15Z))
Ceramide (d18:1/25:0)
Cer(d18:1/26:0)
Choline
Citrulline
Cortisol
Cortisone
Creatinine
L-Cysteine
D-Cysteine
L-Cystine
Deoxycholic acid
DG(14:0/14:0/0:0)
DG(14:0/18:1(9Z)/0:0)
DG(14:0/18:2(9Z,12Z)/0:0)
DG(14:0/20:0/0:0)
DG(14:1(9Z)/18:1(9Z)/0:0)
DG(14:1(9Z)/20:2(11Z,14Z)/0:0)
DG(16:0/16:0/0:0)
DG(16:0/16:1(9Z)/0:0)
DG(18:1(9Z)/16:0/0:0)
DG(16:0/18:1(9Z)/0:0)
DG(16:0/18:1(11Z)/0:0)
DG(16:0/18:2(9Z,12Z)/0:0)
DG(16:0/20:0/0:0)
DG(16:0/20:3(8Z,11Z,14Z)/0:0)
DG(16:0/20:4(5Z,8Z,11Z,14Z)/0:0)
DG(16:1(9Z)/18:0/0:0)
DG(16:1(9Z)/18:1(9Z)/0:0)
DG(16:1(9Z)/18:2(9Z,12Z)/0:0)
DG(16:1(9Z)/20:0/0:0)
DG(18:0/20:0/0:0)
DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)
DG(18:1(9Z)/18:1(9Z)/0:0)
DG(18:1(11Z)/18:1(11Z)/0:0)
DG(18:1(9Z)/18:2(9Z,12Z)/0:0)
DG(18:1(9Z)/18:3(9Z,12Z,15Z)/0:0)
DG(18:3(6Z,9Z,12Z)/18:1(9Z)/0:0)
DG(18:4(6Z,9Z,12Z,15Z)/18:1(9Z)/0:0)
DG(18:1(9Z)/20:0/0:0)
DG(18:1(9Z)/20:1(11Z)/0:0)
DG(18:1(9Z)/20:2(11Z,14Z)/0:0)
DG(18:1(9Z)/20:3(8Z,11Z,14Z)/0:0)
DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)
DG(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)
DG(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)
DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)
DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)
DG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z)/0:0)
DG(18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z)/0:0)
DG(18:2(9Z,12Z)/20:0/0:0)
DG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)
DG(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)
DG(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z)/0:0)
DG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/0:0)
DG(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z)/0:0)
DG(18:3(9Z,12Z,15Z)/20:2(11Z,14Z)/0:0)
DG(22:1(13Z)/22:2(13Z,16Z)/0:0)
Docosahexaenoic acid
Dehydroepiandrosterone sulfate
Dodecanedioic acid
Tetradecanedioic acid
L-Dopa
DL-Dopa
Dopamine
Eicosapentaenoic acid
Dodecanoic acid
Myristic acid
Palmitic acid
Stearic acid
7Z-octadecenoic acid
(Z)-13-Octadecenoic acid
18:1(13E)
Octadec-9-enoic Acid
Petroselinic acid
Vaccenic acid
Elaidic acid
2,4-octadecadienoic acid
9E,11E-Octadecadienoic acid
6Z,9Z-octadecadienoic acid
10E,12Z-Octadecadienoic acid
Mangiferic acid
Linoelaidic acid
Bovinic acid
Linoleic acid
11-Eicosenoic acid
Eicosenoic acid
Eicosadienoic acid
8,11,14-Eicosatrienoic acid
Gamma-Aminobutyric acid
Glycocholic acid
Chenodeoxycholic acid glycine conjugate
Chenodeoxyglycocholate
Deoxycholic acid glycine conjugate
Lithocholic acid glycine conjugate
Sulfolithocholylglycine
L-Glutamine
D-Glutamine
L-Glutamic acid
D-Glutamic acid
Glycine
Glycoursodeoxycholic acid
myo-Inositol
D-Mannose
D-Glucose
scyllo-Inositol
D-Fructose
D-Galactose
Homo-L-arginine
L-Homocysteine
Galabiosylceramide (d18:1/16:0)
Lactosylceramide (d18:1/16:0)
Galabiosylceramide (d18:1/18:0)
Lactosylceramide (d18:1/18:0)
Galabiosylceramide (d18:1/20:0)
Lactosylcermide (d18:1/20:0)
Galabiosylceramide (d18:1/22:0)
Lactosylceramide (d18:1/22:0)
Galabiosylceramide (d18:1/24:0)
Lactosylceramide (d18:1/24:0)
Galabiosylceramide (d18:1/24:1(15Z))
Lactosylceramide (d18:1/24:1(15Z))
Galabiosylceramide (d18:1/26:0)
Lactosylceramide (d18:1/26:0)
Galabiosylceramide (d18:1/26:1(17Z))
Lactosylceramide (d18:1/26:1(17Z))
Trihexosylceramide (d18:1/20:0)
Trihexosylceramide (d18:1/22:0)
Trihexosylceramide (d18:1/16:0)
Trihexosylceramide (d18:1/18:0)
Trihexosylceramide (d18:1/24:1(15Z))
Trihexosylceramide (d18:1/26:1(17Z))
Galactosylceramide (d18:1/14:0)
Glucosylceramide (d18:1/16:0)
Galactosylceramide (d18:1/16:0)
Galactosylceramide (d18:1/18:0)
Glucosylceramide (d18:1/18:0)
Galactosylceramide (d18:1/18:1(9Z))
Glucosylceramide (d18:1/9Z-18:1)
Galactosylceramide (d18:1/20:0)
Glucosylceramide (d18:1/20:0)
Galactosylceramide (d18:1/22:0)
Glucosylceramide (d18:1/22:0)
Glucosylceramide (d18:1/24:0)
Galactosylceramide (d18:1/24:1(15Z))
Glucosylceramide (d18:1/24:1(15Z))
Glucosylceramide (d18:1/26:0)
Galactosylceramide (d18:1/26:1(17Z))
