"study","contrast","direction","pathway","feature"
"Misame (1-2 mo.)","IFA/BEP","down","Tyrosine Metabolism","Copper"
"Misame (1-2 mo.)","IFA/BEP","down","Beta-Alanine Metabolism","Copper"
"Misame (1-2 mo.)","IFA/BEP","down","Inositol Metabolism","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Catecholamine Biosynthesis","Copper"
"Misame (1-2 mo.)","IFA/BEP","down","Propanoate Metabolism","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Propanoate Metabolism","Thiamine pyrophosphate"
"Misame (1-2 mo.)","IFA/BEP","down","Arginine and Proline Metabolism","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Phospholipid Biosynthesis","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Oxidation of Branched Chain Fatty Acids","Thiamine pyrophosphate"
"Misame (1-2 mo.)","IFA/BEP","down","Valine, Leucine and Isoleucine Degradation","Thiamine pyrophosphate"
"Misame (1-2 mo.)","IFA/BEP","down","Lysine Degradation","Thiamine pyrophosphate"
"Misame (1-2 mo.)","IFA/BEP","down","Histidine Metabolism","Copper"
"Misame (1-2 mo.)","IFA/BEP","down","Histidine Metabolism","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Alanine Metabolism","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Citric Acid Cycle","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Citric Acid Cycle","Thiamine pyrophosphate"
"Misame (1-2 mo.)","IFA/BEP","down","Urea Cycle","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Pyruvate Metabolism","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Pyruvate Metabolism","Thiamine pyrophosphate"
"Misame (1-2 mo.)","IFA/BEP","down","Riboflavin Metabolism","Copper"
"Misame (1-2 mo.)","IFA/BEP","down","Thiamine Metabolism","Thiamine pyrophosphate"
"Misame (1-2 mo.)","IFA/BEP","down","Gluconeogenesis","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Lactose Synthesis","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Phytanic Acid Peroxisomal Oxidation","Thiamine pyrophosphate"
"Misame (1-2 mo.)","IFA/BEP","down","Threonine and 2-Oxobutanoate Degradation","Thiamine pyrophosphate"
"Misame (1-2 mo.)","IFA/BEP","down","Fatty Acid Biosynthesis","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Phosphatidylinositol Phosphate Metabolism","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Transfer of Acetyl Groups into Mitochondria","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Transfer of Acetyl Groups into Mitochondria","Thiamine pyrophosphate"
"Misame (1-2 mo.)","IFA/BEP","down","Degradation of Superoxides","Copper"
"Misame (1-2 mo.)","IFA/BEP","down","Degradation of Superoxides","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Warburg Effect","Manganese"
"Misame (1-2 mo.)","IFA/BEP","down","Warburg Effect","Thiamine pyrophosphate"
