"study","contrast","direction","n_query","reason"
"Misame (14-21 days)","BEP/BEP","down",5,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Misame (14-21 days)","BEP/BEP","up",4,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Misame (14-21 days)","BEP/IFA","down",3,"object 'current.msg' not found"
"Misame (14-21 days)","BEP/IFA","up",3,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Misame (1-2 mo.)","BEP/BEP","down",2,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Misame (1-2 mo.)","BEP/BEP","up",2,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Misame (1-2 mo.)","BEP/IFA","down",4,"object 'current.msg' not found"
"Misame (1-2 mo.)","BEP/IFA","up",1,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Misame (1-2 mo.)","IFA/BEP","down",1,"object 'current.msg' not found"
"Misame (3-4 mo.)","BEP/BEP","down",3,"object 'current.msg' not found"
"Misame (3-4 mo.)","BEP/BEP","up",4,"object 'current.msg' not found"
"Misame (3-4 mo.)","BEP/IFA","down",3,"object 'current.msg' not found"
"Vital (1.5 mo.)","BEP+ExBf","down",4,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Vital (1.5 mo.)","BEP+ExBf","up",1,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Vital (1.5 mo.)","BEP+ExBf+AZT","down",6,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Vital (1.5 mo.)","BEP+ExBf+AZT","up",2,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Vital (2 mo.)","BEP+ExBf","down",4,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Vital (2 mo.)","BEP+ExBf","up",2,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Vital (2 mo.)","BEP+ExBf+AZT","down",3,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Elicit (1 mo.)","Az.","down",1,"object 'current.msg' not found"
"Elicit (1 mo.)","Az.","up",1,"object 'current.msg' not found"
"Elicit (1 mo.)","Nico","down",1,"object 'current.msg' not found"
"Elicit (1 mo.)","Nico+Az.","down",1,"object 'current.msg' not found"
"Elicit (1 mo.)","Nico+Az.","up",1,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Elicit (5 mo.)","Az.","down",1,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Elicit (5 mo.)","Nico+Az.","up",1,"object 'current.msg' not found"
