"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Nicotinate and Nicotinamide Metabolism",7,5,3,0.101,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Caffeine Metabolism",2,2,0.857,0.176,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Glycerolipid Metabolism",2,2,0.857,0.176,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Glycerol Phosphate Shuttle",2,2,0.857,0.176,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Mitochondrial Electron Transport Chain",2,2,0.857,0.176,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",2,2,0.857,0.176,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Valine, Leucine and Isoleucine Degradation",6,4,2.57,0.2,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Ammonia Recycling",5,3,2.14,0.36,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Arginine and Proline Metabolism",5,3,2.14,0.36,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Threonine and 2-Oxobutanoate Degradation",5,3,2.14,0.36,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Pantothenate and CoA Biosynthesis",3,2,1.29,0.39,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Bile Acid Biosynthesis",3,2,1.29,0.39,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Fatty acid Metabolism",3,2,1.29,0.39,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Butyrate Metabolism",3,2,1.29,0.39,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Retinol Metabolism",3,2,1.29,0.39,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Thiamine Metabolism",3,2,1.29,0.39,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Plasmalogen Synthesis",3,2,1.29,0.39,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",3,2,1.29,0.39,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,2,1.29,0.39,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","D-Arginine and D-Ornithine Metabolism",1,1,0.429,0.429,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Fatty Acid Elongation In Mitochondria",1,1,0.429,0.429,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Biotin Metabolism",1,1,0.429,0.429,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Ketone Body Metabolism",1,1,0.429,0.429,1
"Vital (1.5 mo.)","BEP+ExBf+AZT","up","Steroidogenesis",1,1,0.429,0.429,1
