study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,1-2 mo.,BEP,up,Beta-Alanine Metabolism,3,0.169,2,0.00804,0.394,11.834319526627219
MISAME-III,1-2 mo.,BEP,up,Pantothenate and CoA Biosynthesis,3,0.169,2,0.00804,0.394,11.834319526627219
MISAME-III,1-2 mo.,BEP,down,Fatty Acid Biosynthesis,7,1.81,5,0.0124,0.522,-2.7624309392265194
MISAME-III,1-2 mo.,BEP,down,Bile Acid Biosynthesis,3,0.774,3,0.016,0.522,-3.875968992248062
MISAME-III,1-2 mo.,BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.774,3,0.016,0.522,-3.875968992248062
MISAME-III,14-21 days,BEP,up,Purine Metabolism,7,0.677,3,0.0197,0.802,4.431314623338257
MISAME-III,14-21 days,BEP,up,Pyrimidine Metabolism,3,0.29,2,0.0245,0.802,6.8965517241379315
MISAME-III,3-4 mo.,BEP,up,Tyrosine Metabolism,8,2.97,6,0.0296,0.911,2.02020202020202
ELICIT,5 mo.,Nico,up,Nicotinate and Nicotinamide Metabolism,6,0.339,2,0.037,1,5.899705014749262
MISAME-III,14-21 days,BEP,up,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.387,2,0.0464,1,5.167958656330749
ELICIT,1 mo.,Nico,up,Gluconeogenesis,6,0.387,2,0.0482,1,5.167958656330749
MISAME-III,3-4 mo.,BEP,up,Catecholamine Biosynthesis,3,1.11,3,0.0489,0.911,2.7027027027027026
ELICIT,5 mo.,Nico,up,Purine Metabolism,7,0.395,2,0.0503,1,5.063291139240506
MISAME-III,3-4 mo.,BEP,up,Transfer of Acetyl Groups into Mitochondria,5,1.85,4,0.0626,0.911,2.162162162162162
MISAME-III,3-4 mo.,BEP,up,Warburg Effect,9,3.34,6,0.0631,0.911,1.7964071856287427
MISAME-III,3-4 mo.,BEP,up,Arginine and Proline Metabolism,7,2.6,5,0.0651,0.911,1.923076923076923
MISAME-III,3-4 mo.,BEP,up,Citric Acid Cycle,7,2.6,5,0.0651,0.911,1.923076923076923
MISAME-III,3-4 mo.,BEP,up,Pyruvate Metabolism,7,2.6,5,0.0651,0.911,1.923076923076923
ELICIT,1 mo.,Nico,up,Pyruvate Metabolism,7,0.452,2,0.0652,1,4.424778761061947
Mumta-LW,1.5 mo.,BEP,down,Glycine and Serine Metabolism,6,0.0968,1,0.0948,1,-10.330578512396695
MISAME-III,14-21 days,BEP,up,Aspartate Metabolism,6,0.581,2,0.104,1,3.442340791738382
ELICIT,1 mo.,Nico,up,Warburg Effect,9,0.581,2,0.105,1,3.442340791738382
Mumta-LW,1.5 mo.,BEP,down,Pyruvate Metabolism,7,0.113,1,0.11,1,-8.849557522123893
Mumta-LW,2 mo.,BEP,up,Tryptophan Metabolism,7,0.621,2,0.118,1,3.2206119162640903
MISAME-III,3-4 mo.,BEP,up,Nicotinate and Nicotinamide Metabolism,6,2.23,4,0.136,1,1.7937219730941705
MISAME-III,3-4 mo.,BEP,up,Gluconeogenesis,6,2.23,4,0.136,1,1.7937219730941705
Mumta-LW,1.5 mo.,BEP,down,Glutamate Metabolism,9,0.145,1,0.14,1,-6.8965517241379315
MISAME-III,1-2 mo.,BEP,up,Cysteine Metabolism,3,0.169,1,0.161,1,5.9171597633136095
ELICIT,1 mo.,Nico,down,Ammonia Recycling,4,0.194,1,0.182,1,-5.154639175257731
ELICIT,1 mo.,Nico,down,Propanoate Metabolism,4,0.194,1,0.182,1,-5.154639175257731
Mumta-LW,2 mo.,BEP,up,Glutamate Metabolism,9,0.798,2,0.183,1,2.506265664160401
