"","total","expected","hits","Raw p","Holm p","FDR"
"Phenylacetate Metabolism",2,0.288,2,0.0202,1,1
"Alpha Linolenic Acid and Linoleic Acid Metabolism",9,1.3,4,0.0269,1,1
"Porphyrin Metabolism",1,0.144,1,0.144,1,1
"Pyrimidine Metabolism",1,0.144,1,0.144,1,1
"Nicotinate and Nicotinamide Metabolism",2,0.288,1,0.268,1,1
"Phospholipid Biosynthesis",3,0.432,1,0.374,1,1
"Pyruvate Metabolism",3,0.432,1,0.374,1,1
"Warburg Effect",9,1.3,2,0.381,1,1
"Tryptophan Metabolism",4,0.576,1,0.466,1,1
"Amino Sugar Metabolism",5,0.72,1,0.544,1,1
"Gluconeogenesis",5,0.72,1,0.544,1,1
"Ammonia Recycling",8,1.15,1,0.718,1,1
"Aspartate Metabolism",8,1.15,1,0.718,1,1
"Glutamate Metabolism",8,1.15,1,0.718,1,1
"Purine Metabolism",9,1.3,1,0.76,1,1
"Urea Cycle",10,1.44,1,0.796,1,1
