"","total","expected","hits","Raw p","Holm p","FDR"
"Plasmalogen Synthesis",1,0.106,1,0.106,1,1
"Pantothenate and CoA Biosynthesis",2,0.212,1,0.201,1,1
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",2,0.212,1,0.201,1,1
"Pyruvate Metabolism",3,0.318,1,0.286,1,1
"Spermidine and Spermine Biosynthesis",3,0.318,1,0.286,1,1
"Methionine Metabolism",5,0.53,1,0.432,1,1
"Sphingolipid Metabolism",5,0.53,1,0.432,1,1
"Beta Oxidation of Very Long Chain Fatty Acids",5,0.53,1,0.432,1,1
"Gluconeogenesis",5,0.53,1,0.432,1,1
"Beta-Alanine Metabolism",6,0.636,1,0.493,1,1
"Oxidation of Branched Chain Fatty Acids",6,0.636,1,0.493,1,1
"Warburg Effect",9,0.953,1,0.642,1,1
