"","total","expected","hits","Raw p","Holm p","FDR"
"Selenoamino Acid Metabolism",2,0.00477,1,0.00476,0.467,0.232
"Alanine Metabolism",3,0.00715,1,0.00714,0.692,0.232
"Glucose-Alanine Cycle",3,0.00715,1,0.00714,0.692,0.232
"Glutathione Metabolism",4,0.00953,1,0.00951,0.903,0.232
"Purine Metabolism",6,0.0143,1,0.0142,1,0.232
"Tryptophan Metabolism",6,0.0143,1,0.0142,1,0.232
"Urea Cycle",7,0.0167,1,0.0166,1,0.232
"Glutamate Metabolism",8,0.0191,1,0.019,1,0.232
"Glycine and Serine Metabolism",13,0.031,1,0.0307,1,0.334
