"","total","expected","hits","Raw p","Holm p","FDR"
"Fatty Acid Biosynthesis",4,1.16,4,0.00658,0.644,0.644
"Glycerolipid Metabolism",2,0.579,2,0.0829,1,1
"Sphingolipid Metabolism",5,1.45,3,0.147,1,1
"Homocysteine Degradation",3,0.868,2,0.202,1,1
"Arachidonic Acid Metabolism",6,1.74,3,0.234,1,1
"Alpha Linolenic Acid and Linoleic Acid Metabolism",9,2.6,4,0.243,1,1
"Nucleotide Sugars Metabolism",1,0.289,1,0.289,1,1
"Steroid Biosynthesis",1,0.289,1,0.289,1,1
"Fatty Acid Elongation In Mitochondria",1,0.289,1,0.289,1,1
"Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",1,0.289,1,0.289,1,1
"Beta Oxidation of Very Long Chain Fatty Acids",5,1.45,2,0.45,1,1
"Taurine and Hypotaurine Metabolism",2,0.579,1,0.496,1,1
"Pantothenate and CoA Biosynthesis",2,0.579,1,0.496,1,1
"Galactose Metabolism",2,0.579,1,0.496,1,1
"Fatty acid Metabolism",2,0.579,1,0.496,1,1
"Phenylacetate Metabolism",2,0.579,1,0.496,1,1
"Threonine and 2-Oxobutanoate Degradation",2,0.579,1,0.496,1,1
"Lactose Degradation",2,0.579,1,0.496,1,1
"Phosphatidylethanolamine Biosynthesis",2,0.579,1,0.496,1,1
"Methionine Metabolism",6,1.74,2,0.559,1,1
"Phospholipid Biosynthesis",3,0.868,1,0.643,1,1
"Selenoamino Acid Metabolism",3,0.868,1,0.643,1,1
"Pyruvate Metabolism",3,0.868,1,0.643,1,1
"Glycine and Serine Metabolism",11,3.18,3,0.665,1,1
"Cysteine Metabolism",4,1.16,1,0.748,1,1
"Glutathione Metabolism",4,1.16,1,0.748,1,1
"Lysine Degradation",4,1.16,1,0.748,1,1
"Valine, Leucine and Isoleucine Degradation",5,1.45,1,0.822,1,1
"Bile Acid Biosynthesis",5,1.45,1,0.822,1,1
"Gluconeogenesis",5,1.45,1,0.822,1,1
"Ammonia Recycling",8,2.31,1,0.938,1,1
"Glutamate Metabolism",8,2.31,1,0.938,1,1
"Warburg Effect",9,2.6,1,0.957,1,1
"Arginine and Proline Metabolism",10,2.89,1,0.97,1,1
