"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr","impact"
"Misame (3-4 mo.)","BEP","combined","Nicotinate and Nicotinamide Metabolism",32,4,0.38057,0.00034624,0.026771,0.20487
"Misame (3-4 mo.)","BEP","combined","Vitamin B6 Metabolism",15,3,0.17839,0.00054082,0.026771,0.095097
"Misame (3-4 mo.)","BEP","combined","Thiamine Metabolism",9,1,0.10704,0.10247,1,0
"Misame (3-4 mo.)","BEP","combined","Riboflavin Metabolism",14,1,0.1665,0.15515,1,0.044118
"Misame (3-4 mo.)","BEP","combined","Pantothenate and CoA Biosynthesis",19,1,0.22597,0.20498,1,0.068702
"Misame (3-4 mo.)","BEP","combined","Phospholipid Biosynthesis",25,1,0.29732,0.26121,1,0
"Misame (3-4 mo.)","BEP","combined","Beta-Alanine Metabolism",26,1,0.30922,0.27022,1,0
"Misame (3-4 mo.)","BEP","combined","Citric Acid Cycle",26,1,0.30922,0.27022,1,0
"Misame (3-4 mo.)","BEP","combined","Warburg Effect",49,1,0.58276,0.4516,1,0
"Misame (3-4 mo.)","BEP","combined","Tryptophan Metabolism",55,1,0.65411,0.49156,1,0
