"study","contrast","direction","pathway","feature"
"Elicit (1 mo.)","Nico+Az.","down","Glycine and Serine Metabolism","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Glycine and Serine Metabolism","Sarcosine"
"Elicit (1 mo.)","Nico+Az.","down","Glycine and Serine Metabolism","L-Cysteine"
"Elicit (1 mo.)","Nico+Az.","down","Glycine and Serine Metabolism","Methionine"
"Elicit (1 mo.)","Nico+Az.","down","Ammonia Recycling","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Cysteine Metabolism","L-Cysteine"
"Elicit (1 mo.)","Nico+Az.","down","Glutathione Metabolism","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Glutathione Metabolism","L-Cysteine"
"Elicit (1 mo.)","Nico+Az.","down","Arginine and Proline Metabolism","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Arginine and Proline Metabolism","Proline"
"Elicit (1 mo.)","Nico+Az.","down","Arginine and Proline Metabolism","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Taurine and Hypotaurine Metabolism","L-Cysteine"
"Elicit (1 mo.)","Nico+Az.","down","Porphyrin Metabolism","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Phospholipid Biosynthesis","Choline"
"Elicit (1 mo.)","Nico+Az.","down","Pantothenate and CoA Biosynthesis","L-Cysteine"
"Elicit (1 mo.)","Nico+Az.","down","Oxidation of Branched Chain Fatty Acids","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Valine, Leucine and Isoleucine Degradation","Isoleucine"
"Elicit (1 mo.)","Nico+Az.","down","Valine, Leucine and Isoleucine Degradation","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Valine, Leucine and Isoleucine Degradation","Leucine"
"Elicit (1 mo.)","Nico+Az.","down","Methionine Metabolism","Choline"
"Elicit (1 mo.)","Nico+Az.","down","Methionine Metabolism","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Methionine Metabolism","Sarcosine"
"Elicit (1 mo.)","Nico+Az.","down","Methionine Metabolism","L-Cysteine"
"Elicit (1 mo.)","Nico+Az.","down","Methionine Metabolism","Methionine"
"Elicit (1 mo.)","Nico+Az.","down","Bile Acid Biosynthesis","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Purine Metabolism","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Alanine Metabolism","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Citric Acid Cycle","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Ketone Body Metabolism","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Glutamate Metabolism","gamma-Aminobutyric acid"
"Elicit (1 mo.)","Nico+Az.","down","Glutamate Metabolism","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Glutamate Metabolism","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Glutamate Metabolism","L-Cysteine"
"Elicit (1 mo.)","Nico+Az.","down","Butyrate Metabolism","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Betaine Metabolism","Choline"
"Elicit (1 mo.)","Nico+Az.","down","Betaine Metabolism","Methionine"
"Elicit (1 mo.)","Nico+Az.","down","Mitochondrial Electron Transport Chain","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Spermidine and Spermine Biosynthesis","Methionine"
"Elicit (1 mo.)","Nico+Az.","down","Spermidine and Spermine Biosynthesis","Spermine"
"Elicit (1 mo.)","Nico+Az.","down","Phytanic Acid Peroxisomal Oxidation","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Homocysteine Degradation","L-Cysteine"
"Elicit (1 mo.)","Nico+Az.","down","Carnitine Synthesis","Glycine"
"Elicit (1 mo.)","Nico+Az.","down","Carnitine Synthesis","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Warburg Effect","Succinic acid"
"Elicit (1 mo.)","Nico+Az.","down","Phosphatidylcholine Biosynthesis","Choline"
"Elicit (1 mo.)","Nico+Az.","down","Phosphatidylethanolamine Biosynthesis","Choline"
