"study","contrast","direction","n_query","reason"
"Misame (14-21 days)","BEP","down",2,"ORA: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Misame (14-21 days)","BEP","up",14,"ORA: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Misame (1-2 mo.)","BEP","down",3,"ORA: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Misame (1-2 mo.)","BEP","up",13,"ORA: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Vital (1.5 mo.)","BEP","up",18,"ORA: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Vital (2 mo.)","BEP","down",2,"ORA: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Vital (2 mo.)","BEP","up",15,"ORA: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Elicit (5 mo.)","Nico","down",1,"ORA: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Elicit (5 mo.)","Nico","up",5,"ORA: too few mappable metabolites for enrichment (object 'current.msg' not found)"
