"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glycine and Serine Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glutathione Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Alpha Linolenic Acid and Linoleic Acid Metabolism","Arachidonic acid"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Selenoamino Acid Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Purine Metabolism","Xanthine"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Alanine Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Urea Cycle","L-Alanine"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Tryptophan Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glutamate Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Arachidonic Acid Metabolism","Arachidonic acid"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glucose-Alanine Cycle","L-Alanine"
