"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Selenoamino Acid Metabolism",2,1,0.0228,0.0227,0.816
"Vital (2 mo.)","BEP+ExBf+AZT","up","Alanine Metabolism",3,1,0.0341,0.0338,0.816
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glucose-Alanine Cycle",3,1,0.0341,0.0338,0.816
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glutathione Metabolism",4,1,0.0455,0.0449,0.816
"Vital (2 mo.)","BEP+ExBf+AZT","up","Arachidonic Acid Metabolism",4,1,0.0455,0.0449,0.816
"Vital (2 mo.)","BEP+ExBf+AZT","up","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,1,0.0569,0.0558,0.816
"Vital (2 mo.)","BEP+ExBf+AZT","up","Purine Metabolism",6,1,0.0683,0.0666,0.816
"Vital (2 mo.)","BEP+ExBf+AZT","up","Tryptophan Metabolism",6,1,0.0683,0.0666,0.816
"Vital (2 mo.)","BEP+ExBf+AZT","up","Urea Cycle",7,1,0.0797,0.0774,0.842
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glutamate Metabolism",8,1,0.0911,0.088,0.862
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glycine and Serine Metabolism",13,1,0.148,0.14,1
