"outcome_group","arm_set","study","studytime","direction","contrast","module","pathway","total","hits","expected","raw_p","fdr_native","fdr_bh_pooled","significant","hit_features"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Oxidation of Branched Chain Fatty Acids",4,3,0.065,1.23e-05,0.00121,0.00100906666666667,TRUE,"L-Carnitine; L-Acetylcarnitine; Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Beta Oxidation of Very Long Chain Fatty Acids",3,2,0.0488,0.000709,0.0347,0.0135497777777778,TRUE,"L-Carnitine; L-Acetylcarnitine"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Carnitine Synthesis",5,2,0.0813,0.00232,0.0758,0.02494,FALSE,"L-Carnitine; Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Ketone Body Metabolism",1,1,0.0163,0.0163,0.228,0.0637181818181818,FALSE,"Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Butyrate Metabolism",1,1,0.0163,0.0163,0.228,0.0637181818181818,FALSE,"Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Mitochondrial Electron Transport Chain",1,1,0.0163,0.0163,0.228,0.0637181818181818,FALSE,"Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Phytanic Acid Peroxisomal Oxidation",1,1,0.0163,0.0163,0.228,0.0637181818181818,FALSE,"Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Fatty acid Metabolism",2,1,0.0325,0.0323,0.316,0.0799688311688312,FALSE,"L-Carnitine"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Citric Acid Cycle",2,1,0.0325,0.0323,0.316,0.0799688311688312,FALSE,"Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",2,1,0.0325,0.0323,0.316,0.0799688311688312,FALSE,"L-Carnitine"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.0488,0.0481,0.428,0.0869555555555556,FALSE,"L-Carnitine"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Valine, Leucine and Isoleucine Degradation",5,1,0.0813,0.0789,0.595,0.107795419847328,FALSE,"Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Warburg Effect",5,1,0.0813,0.0789,0.595,0.107795419847328,FALSE,"Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Glutamate Metabolism",8,1,0.13,0.124,0.865,0.142186666666667,FALSE,"Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Arginine and Proline Metabolism",10,1,0.163,0.152,0.995,0.164427672955975,FALSE,"Succinic acid"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Methionine Metabolism",11,1,0.179,0.166,1,0.176220858895706,FALSE,"Sarcosine"
"tertiary","combined","Elicit","1 mo.","down","Nico","ora","Glycine and Serine Metabolism",13,1,0.211,0.194,1,0.199808383233533,FALSE,"Sarcosine"
"tertiary","combined","Elicit","5 mo.","down","Nico","ora","Malate-Aspartate Shuttle",2,1,0.013,0.013,0.557,0.0588421052631579,FALSE,"L-Aspartic acid"
"tertiary","combined","Elicit","5 mo.","down","Nico","ora","Tyrosine Metabolism",5,1,0.0325,0.0322,0.557,0.0799688311688312,FALSE,"L-Aspartic acid"
"tertiary","combined","Elicit","5 mo.","down","Nico","ora","Purine Metabolism",6,1,0.039,0.0385,0.557,0.0819654320987654,FALSE,"L-Aspartic acid"
"tertiary","combined","Elicit","5 mo.","down","Nico","ora","Tryptophan Metabolism",6,1,0.039,0.0385,0.557,0.0819654320987654,FALSE,"Indoleacetic acid"
"tertiary","combined","Elicit","5 mo.","down","Nico","ora","Beta-Alanine Metabolism",7,1,0.0455,0.0449,0.557,0.0858088888888889,FALSE,"L-Aspartic acid"
"tertiary","combined","Elicit","5 mo.","down","Nico","ora","Ammonia Recycling",7,1,0.0455,0.0449,0.557,0.0858088888888889,FALSE,"L-Aspartic acid"
"tertiary","combined","Elicit","5 mo.","down","Nico","ora","Urea Cycle",7,1,0.0455,0.0449,0.557,0.0858088888888889,FALSE,"L-Aspartic acid"
"tertiary","combined","Elicit","5 mo.","down","Nico","ora","Aspartate Metabolism",8,1,0.052,0.0511,0.557,0.0869555555555556,FALSE,"L-Aspartic acid"
"tertiary","combined","Elicit","5 mo.","down","Nico","ora","Glutamate Metabolism",8,1,0.052,0.0511,0.557,0.0869555555555556,FALSE,"L-Aspartic acid"
"tertiary","combined","Elicit","5 mo.","down","Nico","ora","Arginine and Proline Metabolism",10,1,0.065,0.0636,0.624,0.0951234782608696,FALSE,"L-Aspartic acid"
"tertiary","combined","Misame","1-2 mo.","down","BEP","ora","Spermidine and Spermine Biosynthesis",5,3,0.179,0.000381,0.0373,0.00958285714285714,TRUE,"Ornithine; Spermine; Putrescine"
"tertiary","combined","Misame","1-2 mo.","down","BEP","ora","Methionine Metabolism",11,3,0.393,0.00546,0.225,0.0400416,FALSE,"Sarcosine; Homocysteine; Putrescine"
"tertiary","combined","Misame","1-2 mo.","down","BEP","ora","Glycine and Serine Metabolism",13,3,0.465,0.00902,0.225,0.0517146666666667,FALSE,"Ornithine; Sarcosine; Homocysteine"
