"outcome_group","arm_set","study","studytime","direction","contrast","module","pathway","total","hits","expected","raw_p","fdr_native","fdr_bh_pooled","significant","hit_features"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Purine Metabolism",6,2,0.0683,0.00163,0.0985,0.0215661538461538,FALSE,"Xanthine; Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Urea Cycle",7,2,0.0797,0.00227,0.0985,0.02494,FALSE,"L-Alanine; Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Glutamate Metabolism",8,2,0.0911,0.00301,0.0985,0.02795,FALSE,"L-Alanine; Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Phenylacetate Metabolism",1,1,0.0114,0.0114,0.279,0.0581764705882353,FALSE,"Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Selenoamino Acid Metabolism",2,1,0.0228,0.0227,0.317,0.0709890909090909,FALSE,"L-Alanine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Pyrimidine Metabolism",2,1,0.0228,0.0227,0.317,0.0709890909090909,FALSE,"Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Nicotinate and Nicotinamide Metabolism",2,1,0.0228,0.0227,0.317,0.0709890909090909,FALSE,"Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Amino Sugar Metabolism",3,1,0.0341,0.0338,0.331,0.0799688311688312,FALSE,"Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Alanine Metabolism",3,1,0.0341,0.0338,0.331,0.0799688311688312,FALSE,"L-Alanine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Glucose-Alanine Cycle",3,1,0.0341,0.0338,0.331,0.0799688311688312,FALSE,"L-Alanine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Glutathione Metabolism",4,1,0.0455,0.0449,0.4,0.0858088888888889,FALSE,"L-Alanine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,1,0.0569,0.0558,0.421,0.0872509090909091,FALSE,"Dihomo-gamma-linolenic acid"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Warburg Effect",5,1,0.0569,0.0558,0.421,0.0872509090909091,FALSE,"Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Tryptophan Metabolism",6,1,0.0683,0.0666,0.466,0.0987517241379311,FALSE,"L-Alanine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Ammonia Recycling",7,1,0.0797,0.0774,0.505,0.107795419847328,FALSE,"Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Aspartate Metabolism",8,1,0.0911,0.088,0.539,0.112118518518519,FALSE,"Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Glycine and Serine Metabolism",13,1,0.148,0.14,0.804,0.152405063291139,FALSE,"L-Alanine"
