"study","contrast","direction","pathway","feature"
"Misame (1-2 mo.)","BEP/BEP","down","Glycine and Serine Metabolism","Homocysteine"
"Misame (1-2 mo.)","BEP/BEP","down","Catecholamine Biosynthesis","Homocysteine"
"Misame (1-2 mo.)","BEP/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Arachidonic acid"
"Misame (1-2 mo.)","BEP/BEP","down","Methionine Metabolism","Homocysteine"
"Misame (1-2 mo.)","BEP/BEP","down","Methionine Metabolism","Spermidine"
"Misame (1-2 mo.)","BEP/BEP","down","Methionine Metabolism","Putrescine"
"Misame (1-2 mo.)","BEP/BEP","down","Sphingolipid Metabolism","Cer(d18:1/18:0)"
"Misame (1-2 mo.)","BEP/BEP","down","Beta Oxidation of Very Long Chain Fatty Acids","Dodecanoic acid"
"Misame (1-2 mo.)","BEP/BEP","down","Pyruvate Metabolism","Lactic acid"
"Misame (1-2 mo.)","BEP/BEP","down","Arachidonic Acid Metabolism","Arachidonic acid"
"Misame (1-2 mo.)","BEP/BEP","down","Betaine Metabolism","Homocysteine"
"Misame (1-2 mo.)","BEP/BEP","down","Gluconeogenesis","Lactic acid"
"Misame (1-2 mo.)","BEP/BEP","down","Spermidine and Spermine Biosynthesis","Spermine"
"Misame (1-2 mo.)","BEP/BEP","down","Spermidine and Spermine Biosynthesis","Spermidine"
"Misame (1-2 mo.)","BEP/BEP","down","Spermidine and Spermine Biosynthesis","Putrescine"
"Misame (1-2 mo.)","BEP/BEP","down","Homocysteine Degradation","Homocysteine"
"Misame (1-2 mo.)","BEP/BEP","down","Fatty Acid Biosynthesis","Dodecanoic acid"
"Misame (1-2 mo.)","BEP/BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","Dodecanoic acid"
"Misame (1-2 mo.)","BEP/BEP","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids","Stearoylcarnitine"
"Misame (1-2 mo.)","BEP/BEP","down","Warburg Effect","Lactic acid"
