"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Glycine and Serine Metabolism","5-aminolevulinate synthase, nonspecific, mitochondrial"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Beta-Alanine Metabolism","Pantothenic acid"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Pantothenate and CoA Biosynthesis","Pantothenic acid"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Nicotinate and Nicotinamide Metabolism","N1-Methyl-2-pyridone-5-carboxamide"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Nicotinate and Nicotinamide Metabolism","Nicotinic acid mononucleotide"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Biotin Metabolism","Biotin"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Androgen and Estrogen Metabolism","Reduced flavoprotein"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Riboflavin Metabolism","Flavin Mononucleotide"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Thiamine Metabolism","Thiamine monophosphate"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Steroidogenesis","Reduced acceptor"
"Vital (2 mo.)","BEP+ExBf+AZT","combined","Androstenedione Metabolism","Oxidized adrenal ferredoxin"
