"study","contrast","direction","pathway","feature"
"Misame (1-2 mo.)","BEP/IFA","combined","Beta-Alanine Metabolism","Pantothenic acid"
"Misame (1-2 mo.)","BEP/IFA","combined","Pantothenate and CoA Biosynthesis","Pantothenic acid"
"Misame (1-2 mo.)","BEP/IFA","combined","Valine, Leucine and Isoleucine Degradation","Thiamine pyrophosphate"
"Misame (1-2 mo.)","BEP/IFA","combined","Tryptophan Metabolism","L-Tryptophan"
"Misame (1-2 mo.)","BEP/IFA","combined","Thiamine Metabolism","Thiamine pyrophosphate"
